Weight Vector               | Iso Sig                                     | Simplified IsoSig                           
-----------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 4, 2, 3, 2] | mLLwMLPAQcedghihkkjjllauwisucxxjvuf         | cMcabbgqw                                   
[0, 0, 0, 0, 2, 2, 3, 2, 2] | kLLvPPQkcdigfjijhjiawugflfivlj              | bkaajn                                      
[0, 0, 0, 1, 0, 3, 1, 3, 3] | oLLvLPAMPQccbffgiijkmnnlnmubjjkffoqunkvjg   | cMcabbgaj                                   
[0, 0, 0, 1, 1, 1, 3, 3, 2] | mLLwLQzMQacdgfhijkllklbsaanahaaujbs         | cMcabbjaj                                   
[0, 0, 0, 1, 1, 3, 2, 1, 3] | jLLwMAQcedfghhiiitarpnjnaxp                 | dLQbcbchxjj                                 
[0, 0, 0, 2, 1, 3, 1, 1, 3] | mLvAwLPQQcdefiijjklkklpjaqaeehqtgrb         | cMcabbjqw                                   
[0, 0, 1, 1, 0, 3, 2, 3, 1] | iLLLAQcbcggehhhglsmmtiatw                   | fLAMcbccdeeemkihn                           
[0, 0, 1, 2, 0, 2, 1, 2, 3] | jLLvPQQcdihifgihhawtjjfrwjr                 | eLAkbcbddhhjqn                              
[0, 0, 1, 3, 0, 2, 2, 2, 1] | kLLwMzQkcedghfjijijalsmrcapmps              | bkaajj                                      
[0, 0, 1, 3, 1, 1, 3, 2, 0] | lLvAvQMQccdeigjhhikjkpjajvarrctvb           | cPcbbbqxh                                   
[0, 0, 2, 0, 1, 2, 1, 3, 2] | jLLPzMQcdefghihiihsamtaapaj                 | eLAkbcbddhhjhr                              
[0, 0, 2, 0, 2, 3, 1, 0, 3] | kLLwLAQkcedfihjgijjtargjbacsau              | dLQbcbchxjn                                 
[0, 0, 2, 0, 3, 4, 1, 0, 1] | iLLLMQcccfghghhgqfdawffnk                   | eLPkbcddddrwos                              
[0, 0, 2, 1, 2, 0, 3, 2, 1] | lLLvwMQQccdehijjhijkkpwesbpakohhb           | dLQbccchhrw                                 
[0, 0, 2, 1, 2, 1, 2, 3, 0] | nLvLAzwQQkafghhimjklmkmlbxgssatdncjvsv      | cMcabbjxr                                   
[0, 0, 2, 1, 2, 3, 0, 0, 3] | jLLvMQQcdefgighiitgmknbvjff                 | fLLQcaceeedjkuxkn                           
[0, 0, 2, 1, 2, 4, 0, 1, 1] | iLLzPQccdefghghhpwaekbswr                   | fLLQcacdeeejkqxvn                           
[0, 0, 2, 2, 2, 0, 2, 1, 2] | nLvAMwPwQkcdegfhikjmkmlmpjaucjuutavuof      | eLPkbcdddhrrnk                              
[0, 0, 3, 0, 2, 4, 0, 1, 1] | iLLzAQccdegffhhhhsallnxad                   | gLLPQaceedffjkxknnn                         
[0, 0, 3, 1, 2, 2, 0, 0, 3] | iLLvQQccdefgghhhafpdjknnw                   | dLQbcbchhjw                                 
[0, 0, 3, 1, 3, 4, 0, 0, 0] | kLLMLwQkbecfhhiijjjhhvhgbilhdw              | eLAkbcbddhxjqw                              
[0, 0, 3, 2, 2, 1, 1, 1, 1] | jLvLAQQcfgfhgihiiupipjvggck                 | fLLQcbeddeehhokum                           
[0, 0, 4, 0, 3, 2, 1, 0, 1] | iLLLAQcccfgehhghqfdaqimke                   | fLAMcbccdeeemkiqj                           
[0, 0, 4, 1, 3, 3, 0, 0, 0] | kLLMzAMkbdedghfijjjevdwfdfqqqa              | fLAMcbcbdeehhjqqw                           
[0, 1, 1, 0, 0, 3, 2, 3, 1] | iLLLAQcbcggehhhglsmmtaatw                   | dLQbcbchhjs                                 
[0, 1, 2, 2, 1, 0, 3, 1, 1] | jLvAAAQbfeeghgiiihlluabfuue                 | fvPQcceddeerrnskr                           
[0, 1, 2, 2, 3, 1, 1, 1, 0] | jLLLMMQccfghgiiihqfaabfaupk                 | fLLQcbcdeeehwkiiq                           
[0, 1, 2, 3, 1, 0, 2, 1, 1] | oLvLAMLMAQccfefghijjklmnmnupppbgkmhgcsecg   | eLMkbcdddhhhqx                              
[0, 1, 3, 0, 1, 0, 2, 2, 2] | kLLALAPkbcedhhgjijjtsxfaeoaono              | cMcabbjqs                                   
[0, 2, 2, 0, 2, 0, 2, 1, 2] | nLLLMvAAQkbedgfjhikklmlmeawxkasekgbqvc      | cMcabbjak                                   
[0, 2, 3, 3, 0, 0, 1, 0, 2] | jLLLPPQcddghhiiihtgfjgvatqw                 | fLMPcbcdeeehhhhwr                           
[0, 2, 3, 3, 1, 0, 0, 0, 2] | mLvLALAQQbdfeijhhjllklewaeemoffwsvv         | eLAkbcbddhhjhk                              
[1, 0, 0, 0, 1, 3, 2, 1, 3] | iLLLAQcbcggehhhglsmmteupw                   | eLAkbcbddhhwqn                              
[1, 0, 0, 0, 2, 3, 2, 1, 2] | kLLvPMQkcdigigjihjjawugnrafvii              | dLQbcbchhww                                 
[1, 0, 0, 1, 1, 3, 0, 2, 3] | jLLLLQQbedfghhiiieafkbnwvvr                 | dLQbcbchxwn                                 
[1, 0, 0, 2, 1, 3, 0, 1, 3] | jLLLAMQccfeghihiipvadpiaain                 | fLLQcaceeedjkuxkj                           
[1, 0, 1, 1, 0, 3, 0, 3, 2] | jLLLPPQccfhhfgiiilnaacfcdqp                 | eLAkbcbddhxjqs                              
[1, 0, 1, 2, 0, 3, 0, 2, 2] | kLLLLMQkbddhfjjihijdwfwcttqfeg              | gLLPQaceedffjkxkjnn                         
[1, 0, 1, 2, 2, 3, 0, 1, 1] | mLvAwAMMQcdeghgjkijklluruajbxamcrmc         | fLLQcacddeejkaikr                           
[1, 0, 1, 3, 1, 2, 0, 0, 3] | mLLwLMMAQacdfghjikklllbkaolmogauqdw         | gLLAQbeddfffhhokxjo                         
[1, 0, 2, 0, 3, 3, 0, 2, 0] | jLLvAQQbeehgigihixxxpvrkvbj                 | fLAMcbcbdeehxjqhr                           
[1, 0, 2, 2, 1, 3, 0, 1, 1] | jLvAwQQcdefhgihiipjaqovaked                 | hLLAMkbdedfgggdwqsuqxh                      
[1, 0, 2, 3, 1, 1, 0, 0, 3] | pLvLALMQvQQcfefhihikllnmnooupppgjcvpjfhgbvc | eLAkbcbddhhjqj                              
[1, 0, 4, 1, 2, 2, 0, 0, 1] | nLvAMAwMMkcdeghfgikklmlmljaanwnqngutbo      | eLAkbcbddhhwqj                              
[1, 1, 1, 2, 0, 3, 0, 2, 1] | jLvAAPQbeffgihihidadiaicirp                 | gLLAQbdedfffdwqsujs                         
[1, 1, 1, 2, 3, 2, 0, 0, 1] | jLLvAQQbeehgiihihxxxmvrcwck                 | eLAkbcbddhxwqs                              
[1, 1, 2, 3, 0, 1, 0, 0, 3] | jLLLPPQcbeffghiiilnqlgrfuqx                 | fLAMcbcbdeehhjhxn                           
[1, 1, 4, 0, 2, 3, 0, 0, 0] | iLLvQQcaceggfhhhnkssjkpuu                   | fLAMcbcbdeehxjxhw                           
[2, 0, 1, 3, 0, 2, 1, 1, 1] | jLLLLQQbegffhiihixxtxrcvvks                 | hLLAMkbeddfggghhokxhmu                      
[2, 0, 2, 1, 1, 2, 1, 0, 2] | mLvAMwAPQcdegfhjiljlkltraacjqlwvgof         | eLAkbccddemken                              
[2, 0, 2, 2, 1, 0, 3, 0, 1] | nLLALvwQQkbecdfhjkmmkmllxxofcdckltolvc      | gLLAQbcedfeftsqsqsw                         
[2, 0, 2, 3, 0, 1, 1, 1, 1] | jLLvAQQbeehggiihixxxpvnbjbj                 | fLAMcbcbdeehhjqxr                           
[2, 0, 2, 3, 1, 0, 1, 0, 2] | kLLwLMQkaedhiijihjjbqalqdealew              | fLLQcacddeejkaikk                           
[2, 0, 2, 3, 1, 0, 1, 1, 1] | lLLLLLQQcbddhgkihkkjjakfvrppodkvc           | fLAMcbccdeeemkehj                           
[2, 1, 0, 1, 2, 3, 0, 1, 1] | jLvAAAQbfeeghgiiihlluabcuuh                 | gLLAQbcedfeftsqsxwk                         
[2, 1, 3, 1, 1, 2, 0, 1, 0] | jLLLLQQbcffiihhhidfpgogrrfr                 | fLAMcbcbdeehhwqqs                           
[2, 1, 3, 1, 1, 2, 1, 0, 0] | jLLLLQQbcffiihhhiebpkkrrrfr                 | gLLAQbcedfeftsasxnk                         
[3, 0, 0, 2, 2, 1, 1, 1, 1] | jLvLAQQcfgfhgihiipuipgvgscf                 | hLALMkbcceffgglpkkexbk                      
[3, 0, 2, 3, 0, 0, 2, 0, 1] | oLLLwPMwPQcbedffjihklmlnnnxxftcdxvdxpxbbf   | gLLAQaceefefnkuxxnj                         
[3, 1, 2, 1, 1, 0, 2, 0, 1] | jLLLLQQbcffiihhhidfmgogrrkr                 | gLALQbcbefffxxjndxd                         
[3, 1, 2, 2, 0, 1, 2, 0, 0] | nLLALLvQQkbecdghlijklmmmhhofbdgvcobupu      | gLLMQacdefefjkaknkn                         
[3, 2, 0, 0, 3, 1, 0, 2, 0] | iLLLAQcacfegfhhhnkgskkiix                   | fLAMcbcbdeehhwhxn                           
[3, 2, 0, 1, 3, 0, 0, 2, 0] | lLLvLQQPccdefijghikkkhsofvsfooeeh           | eLAkbcbddhhwhr                              
[3, 2, 1, 0, 3, 0, 0, 2, 0] | iLLLAQcacfegfhhhnkgrkkiix                   | fLAMcbcbdeehhwhxj                           
