Weight Vector               | Iso Sig                                        | Simplified IsoSig                              
-----------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 1, 2, 4, 3, 3] | mLLMzLAPQcedfghijljlkltardahqlaohof            | cMcabbgaj                                      
[0, 0, 0, 0, 1, 3, 4, 2, 3] | jLLwMMQcedgfhiihipajuwjqqgl                    | bkaajn                                         
[0, 0, 0, 0, 1, 4, 2, 2, 4] | mLLPzAzPQcdfegfhijlkklawduufecbudgc            | dLQbcbchxjj                                    
[0, 0, 0, 1, 0, 2, 3, 3, 4] | jLLAzPQcedeggihhiapsaafxmvj                    | cMcabbgqw                                      
[0, 0, 0, 1, 0, 3, 2, 3, 4] | jLLAzPQcedeggihhiatwtarxdfj                    | cMcabbjxr                                      
[0, 0, 0, 1, 0, 4, 2, 3, 3] | mLLMzLAPQcedfghijljlkllajdahqlaohof            | fLAMcbccdeeemkihn                              
[0, 0, 1, 0, 0, 4, 2, 3, 3] | jLLLAMQcegffghiiipataxgvqee                    | eLAkbcbddhhjqn                                 
[0, 0, 1, 1, 0, 2, 3, 2, 4] | kLLLLMQkbeghhjijiijelqafxfxfou                 | cMcabbjqw                                      
[0, 0, 1, 1, 0, 3, 2, 2, 4] | kLLLLMQkbefhhiiijjjelqaffofhhu                 | fLAMcbcbdeehhjqqw                              
[0, 0, 1, 1, 3, 2, 2, 1, 3] | lLLwMwPQccedgfhikikjkpajugjtulkof              | bkaajj                                         
[0, 0, 1, 2, 1, 2, 3, 1, 3] | kLLvPPQkcdfgfjjhiijuktjfulkffq                 | cMcabbjaj                                      
[0, 0, 2, 0, 3, 5, 1, 1, 1] | oLvLALPQwQcbdfehijikklnmmndnedommmqjwuqbg      | dLQbcbchxwn                                    
[0, 0, 2, 1, 1, 3, 2, 1, 3] | kLLvPMQkcdfggijhijjlfdggkarrua                 | eLPkbcddddrwos                                 
[0, 0, 2, 1, 1, 4, 1, 2, 2] | kLLLzMQkbddgfjihijjdwfkcudfluc                 | gLLAQbcedfeftsqsxwk                            
[0, 0, 2, 1, 2, 3, 2, 0, 3] | lLLvPwQQccdfggkhjikjklfdggqrxvdpo              | eLAkbccddemkij                                 
[0, 0, 2, 1, 3, 0, 3, 2, 2] | kLvAwPQkcdefhijihjjuruqkaqqwpg                 | dLQbccchhrw                                    
[0, 0, 2, 1, 3, 3, 1, 0, 3] | jLLLwQQcdffhhgiiipwixkowaad                    | fLLQcacdeeejkqxvn                              
[0, 0, 2, 1, 3, 4, 0, 1, 2] | nLvALwQPMkcdefikhjiljlmmurucjpfxcubkpb         | dLQbcbchxjn                                    
[0, 0, 2, 1, 3, 4, 1, 0, 2] | kLvALMQkcfegijhijijhiahvirvhga                 | fLLQcaceeedjkuxkj                              
[0, 0, 2, 2, 2, 3, 0, 1, 3] | lLLvAMPQccdfhfjjhikkkasaaslxvxgoo              | fLLQcbeddeehhokum                              
[0, 0, 3, 0, 2, 2, 1, 2, 3] | mLLvvMQQQcdfijjhjillklpkkjkokoruhcv            | eLAkbcbddhhjhr                                 
[0, 0, 3, 0, 3, 2, 2, 0, 3] | oLLvPLzAQQccdigghlijkmmmnnawugrspvgbgwbbg      | dLQbcbchhjw                                    
[0, 0, 3, 0, 4, 5, 0, 0, 1] | kLLALwQkbcdeghiijijdfbhvpaxccg                 | eLAkbcbddhxwqs                                 
[0, 0, 3, 1, 2, 0, 3, 2, 2] | mLLLLzMQQbefehkjikjkllhhiajaugqhiro            | fvPQcceddeerrnskr                              
[0, 0, 3, 1, 2, 4, 0, 2, 1] | pLvAwzALQQPcdefghkkjmklnnoopjaqvkecbkscttkf    | gLLPQaceedffjkxknnn                            
