Weight Vector               | Iso Sig                                           | Simplified IsoSig                                 
-----------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 3, 5, 5, 4] | nLLAzPvPQkcedeggijlklkmmalstafxjtqtvbg            | cMcabbgqw                                         
[0, 0, 0, 0, 0, 5, 3, 4, 5] | nLLAzPvPQkcedeggijllkkmmatwtarxbtdtvbg            | bkaajj                                            
[0, 0, 0, 0, 1, 4, 5, 3, 4] | kLLLLQPkbefighijhjjxxalvcnafxm                    | cMcabbjqs                                         
[0, 0, 0, 0, 1, 5, 4, 3, 4] | kLLLLAQkbefighijhjjxxiavcnefpm                    | eLAkbcbddhhjqn                                    
[0, 0, 0, 1, 0, 3, 4, 4, 5] | kLAvMLQkbcbghijhjjihhjaasiviev                    | cMcabbgaj                                         
[0, 0, 0, 1, 0, 4, 3, 4, 5] | kLAvMLQkbcbghjihjjihhjaalvslmf                    | dLQbcbchhjs                                       
[0, 0, 0, 1, 0, 5, 3, 4, 4] | lLLLvQQPccbehiigjjkkklbeonnruuxxo                 | cMcabbjqw                                         
[0, 0, 1, 1, 0, 3, 4, 3, 5] | lLLLLAMQcbefihhjhkkjkxxmavctcaixk                 | dLQbcbchxjn                                       
[0, 0, 1, 1, 0, 4, 3, 3, 5] | lLLLLAMQcbefihhjhkkjkxxdavcmcaldo                 | gLAMPbcbdeffhhjhxxr                               
[0, 0, 1, 1, 0, 5, 3, 3, 4] | mLLLMPzMQcdefgihjkllklaruakaolaaqsl               | fLLQcacdeeenkqxvn                                 
[0, 0, 1, 1, 1, 2, 5, 4, 3] | oLLwzLzMQQcacdfkiimjjnlnmnbcakiccafoqasvc         | cMcabbjaj                                         
[0, 0, 1, 1, 1, 3, 4, 5, 2] | mLLvwLQQQcdffljhilkjlkugachuknxtevj               | bkaajn                                            
[0, 0, 1, 1, 1, 5, 3, 4, 2] | oLLwLLAQzQcacdgijhlkimnmnnbcaallftfcuaffk         | dLQbcbchxjj                                       
[0, 0, 1, 1, 2, 5, 2, 2, 4] | pLLwvAPPAPQcedhjlhjmjklnnoopajralrdhddoumkc       | dLQbcbchhww                                       
[0, 0, 1, 1, 2, 5, 2, 3, 3] | kLLLMMMkaedghfiijjjnaistradswj                    | eLAkbcbddhhwqj                                    
[0, 0, 1, 1, 3, 4, 3, 3, 2] | mLvAwMLQQcdefhijkljlkluruqjataxgokb               | dLQbccchhrw                                       
[0, 0, 1, 1, 3, 5, 2, 2, 3] | kLLLLAQkadefihjjiijjaavaaaeaow                    | cMcabbjxr                                         
[0, 0, 1, 2, 1, 4, 2, 2, 5] | kLLvzQQkcdefgjjhiijukdkspukffl                    | gLLAQacdefffnkqxqlu                               
[0, 0, 1, 2, 2, 4, 3, 2, 3] | nLLLLMALQkccfigjghmkllmmqfawfakfugbkbr            | dLQbcbchhjw                                       
[0, 0, 2, 0, 1, 5, 3, 4, 2] | lLLLvAQQcadeghhjkikjkbmmbaahqkrkj                 | cMcabbjak                                         
[0, 0, 2, 0, 4, 4, 3, 2, 2] | nLvAwMMMAkcdefhijijkllmmuruqjaiiqogcmf            | dLQbcbchxwn                                       
[0, 0, 2, 1, 2, 5, 1, 3, 3] | lLLLzMMQcbddghjhkikjktvfkraceqkrw                 | eLAkbcbddhhwhr                                    
[0, 0, 2, 2, 1, 3, 2, 2, 5] | qLLLLQvLAPQkbefighijnnlomnpopxxaavcrhvjvlvkaog    | fLAMcbcbdeehhjqqw                                 
[0, 0, 2, 2, 2, 5, 1, 2, 3] | lLLMvPAQcbdefgihjjkkkdwaactcxdwnn                 | gLLAQbcedfeftsqsxwk                               
[0, 0, 3, 0, 2, 3, 2, 3, 4] | nLLvLAMPQkcdgfjklmjijlmmhsgknlaagfojon            | fLAMcbcbdeehhjhhw                                 
[0, 0, 3, 0, 4, 6, 1, 1, 2] | nLvAAvPPQkadfegikilmlmmlbalcvajvcljplv            | hLALMkbcceffgglpkkexbr                            
[0, 0, 3, 1, 2, 4, 2, 4, 1] | mLLvLMAQQcdgjfkhiilkllpwgwoakrraipg               | fLLQcacdeeejkqxvn                                 
[0, 0, 3, 1, 2, 5, 2, 3, 1] | mLLvLMQMQcehgiikhkjllllaugvwmfljaag               | gLLPQcdcfeffqsjhqos                               
[0, 0, 3, 1, 3, 6, 1, 1, 2] | jLvAwQQcdefhighiipjaqjxbsdh                       | fLLQcaceeedjkuxkj                                 
[0, 0, 3, 2, 2, 1, 4, 3, 2] | lLLLPzAQcbcgefhjikjkktsmtgbaddkjc                 | eLMkbcdddhhhqx                                    
[0, 0, 3, 2, 2, 3, 2, 1, 4] | rLLvPLLPALQQccdigglimmjonqnqpqpawugrxfidgacacxocf | cPcbbbqxh                                         
[0, 0, 3, 2, 2, 4, 1, 2, 3] | mLLLzAMMQcdegfhjikklllaretfvaltwaii               | hLALMkbcceffggemkbtiwk                            
[0, 0, 3, 2, 2, 4, 3, 2, 1] | rLvAwAPwQvQPccdefhgjkilmlonppqqpjaqjveqmialtvdglc | eLPkbcddddrwos                                    
[0, 0, 3, 2, 3, 0, 4, 3, 2] | qLvAwPzPvQQkcdefgihmlmlnppnoptraqnavnnvvhidfvc    | eLPkbcdddhrrnk                                    
[0, 0, 3, 2, 3, 2, 3, 1, 3] | mLLzAvQMQcdefgkikjllklhsaahumbntlct               | fLLQcacdeeejkaqnv                                 
[0, 0, 3, 2, 3, 4, 1, 3, 1] | mLLLLPAAQcdeihgjgkklllhsunvwqfadjnj               | eLAkbcbddhxjqw                                    
[0, 0, 3, 3, 2, 4, 2, 2, 1] | rLvAwzQLLPMQccdefghkjklpponpqoqpjaqvkehcklljvvpfg | fLAMcbccdeeemkihr                                 
[0, 0, 4, 0, 2, 3, 2, 3, 3] | lLvALwQQccdefikjhkijktracjeejqcqr                 | gLLAQacdefffjkaqqul                               
[0, 0, 4, 0, 4, 5, 1, 0, 3] | mLLMLvMQQaedfhjikilkllbiaqiokgwmwee               | fLAMcbcbdeehhjqxr                                 
[0, 0, 4, 1, 2, 5, 2, 2, 1] | mLLLvAAQQbedjjhkilllkkhhfhanawueumc               | gLLPQcdcfeffqsnhqos                               
