Weight Vector               | Iso Sig                                             | Simplified IsoSig                                   
---------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 2, 5, 4, 3, 4] | qLLvMPvPPQPkcdfgjjminknnompophsagaphgljksvbeco      | dLQbcbchxjj                                         
[0, 0, 0, 1, 1, 3, 5, 5, 3] | pLLwPLMvQAQcdehfgjimllmnonoawaugvmdiwcahfvv         | cMcabbgqw                                           
[0, 0, 0, 1, 1, 4, 5, 3, 4] | lLLLLPPQcbefijihjkkjkaxauxfraaaau                   | bkaajn                                              
[0, 0, 0, 1, 1, 5, 3, 3, 5] | pLLwPLzwQAQcdehfgjimllmnonoawatrvittbjdujgg         | cMcabbjqw                                           
[0, 0, 0, 1, 1, 5, 3, 4, 4] | lLLwMMzQccdegfhijkjkkakhigvaeajsg                   | eLAkbcbddhhwqn                                      
[0, 0, 0, 2, 0, 4, 3, 4, 5] | qLLLLPvPAAQkbefijilhkmllonoppxxaaxrqbhvondodsc      | cMcabbjxr                                           
[0, 0, 1, 0, 0, 3, 5, 5, 4] | kLLLMPMkbegehfihjjjxxtxacuvenn                      | cMcabbgaj                                           
[0, 0, 1, 0, 0, 4, 5, 5, 3] | lLLvLQAQcadhjgijhkijkbmoajahvxlkj                   | bkaajj                                              
[0, 0, 1, 0, 2, 5, 4, 3, 3] | lLLvQLAQccdfggjihkkjklcalgaqvukkn                   | eLPkbcdddhrrnk                                      
[0, 0, 1, 0, 2, 6, 3, 3, 3] | oLvAMzAPzQccdeffhihjllmnmnljaqckpwsmqxrob           | dLQbcbchhww                                         
[0, 0, 1, 1, 1, 5, 4, 3, 3] | lLLvPQLQcbdifhgfjkkjklvuwwrjhaqhn                   | eLAkbcbddhhjqn                                      
[0, 0, 1, 1, 2, 4, 3, 2, 5] | lLLwLAQPccedfhijhikkkpajgrndrjagn                   | gLLPQcdcfeffhsnhqos                                 
[0, 0, 1, 2, 0, 3, 4, 4, 4] | lLLLLAMQcbefihhjhkkjkxxmavctcaixk                   | dLQbcbchxjn                                         
[0, 0, 1, 2, 2, 5, 2, 2, 4] | mLLLzwQPQccfghkiiljklllnalgpuuavwfg                 | fLLQcaceeedjkuxkj                                   
[0, 0, 2, 1, 0, 4, 3, 4, 4] | lLLLLAMQcbefihhjhkkjkxxdavcmcaldo                   | gLAMPbcbdeffhhjhxxr                                 
[0, 0, 2, 1, 1, 3, 4, 2, 5] | lLLvPwQQccdfggkhjikjklfmggqrxvdpf                   | cMcabbjqs                                           
[0, 0, 2, 1, 1, 4, 3, 5, 2] | mLLLPLQLQbedhfgjhikklldpnagwawmitrb                 | fLAMcbccdeeemkihn                                   
[0, 0, 2, 1, 1, 5, 3, 4, 2] | lLLvMwQQccdfgiihjkkjkpwxgwbkliiqr                   | gLLPQcdcfeffhsrhqos                                 
