Weight Vector               | Iso Sig                                                | Simplified IsoSig                                      
---------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 4, 6, 4, 5] | oLLvPLMzQQccdhgfklmknjkmnnhshgoaaaiugboso              | cMcabbjak                                              
[0, 0, 0, 0, 0, 6, 4, 5, 4] | oLLvPLMzQQccdhgfklmknjkmnnhshgoaaaipgbnrb              | cMcabbgaj                                              
[0, 0, 0, 0, 1, 3, 5, 5, 5] | pLLLLLLPAQQbefiijmhlnknmmooxxaafxqbhjgfrnec            | cMcabbgqw                                              
[0, 0, 0, 0, 2, 4, 5, 4, 4] | nLLLLMLMQkbefigijljklmmmxxaavfelxhvvrs                 | dLQbcbchxjn                                            
[0, 0, 0, 1, 0, 5, 3, 5, 5] | pLLLLLLPAQQbefiijmhlnknmmooxxaarxqbhjgfonec            | bkaajj                                                 
[0, 0, 0, 1, 1, 5, 4, 3, 5] | lLLLLPPQcbefijikjhkjkxxauxflxfdau                      | fLAMcbcbdeehhjhxj                                      
[0, 0, 0, 1, 2, 3, 5, 5, 3] | oLLwPLLPMQccedhfgilmlkmnmnuarajbqbncbcafg              | bkaajn                                                 
[0, 0, 0, 2, 1, 5, 3, 3, 5] | oLLwPLzMQMccdehfgjilmllmnnawatrvitgtbjdcg              | dLQbcbchxjj                                            
[0, 0, 1, 0, 2, 4, 5, 4, 3] | mLvALPPAQbefehjihkkllllalpvtfgilogj                    | eLAkbccddemkij                                         
[0, 0, 1, 0, 2, 6, 3, 3, 4] | oLLMvMwAQPcacdeghjlkjmlnnnbsacalgilferhee              | fLAMcbccdeeemkehw                                      
[0, 0, 1, 1, 0, 4, 5, 5, 3] | lLLLMLQMcbedgfhihijkkliwxgnustbxj                      | eLAkbccddemken                                         
[0, 0, 1, 1, 0, 5, 4, 5, 3] | kLLLLQAkcegfgihiijjuamejbkkwxr                         | hLAMzkbccdefggemkihhhn                                 
[0, 0, 1, 1, 2, 2, 5, 4, 4] | oLLvPAPMzQcacggfhkijlmnmnnbrrrrqdogaadsvs              | cMcabbjaj                                              
[0, 0, 1, 1, 2, 3, 4, 3, 5] | nLLwLMzMQkcedghijimmlllmtarnrnecdsjwjg                 | cMcabbjqs                                              
[0, 0, 1, 2, 0, 4, 3, 4, 5] | lLLLLAMQcbefihhjhkkjkxxdavcmcaldo                      | gLAMPbcbdeffhhjhxxr                                    
[0, 0, 1, 2, 1, 4, 3, 5, 3] | oLLvLQzAAQcaciihhkljmmnlnnbseaeamaleaxrtg              | eLAkbcbddhhjqn                                         
[0, 0, 1, 2, 2, 5, 2, 3, 4] | qLLwPLLwLQQkcedhfgilmmolnopopapsagvmmehxraobvb         | dLQbcbchhww                                            
[0, 0, 2, 0, 1, 4, 3, 5, 4] | lLLLMPzQcbefghihijkkkxxaeaxrxhfcb                      | gLAMPbcbdeffhhjhhhr                                    
[0, 0, 2, 0, 2, 5, 3, 2, 5] | mLLwLAMPQcedghfjilkkllpajvrfacdmgbr                    | eLAkbcbddhhwqn                                         
[0, 0, 2, 0, 3, 5, 4, 2, 3] | sLvAwMwLMzQMQcdefhijlnmonpnorqqruruqjapjjkugermpvcv    | cMcabbjxr                                              
[0, 0, 2, 0, 3, 6, 3, 2, 3] | mLvAvPPQQadefkkljliljkbaerxadkbkrcv                    | dLQbcbchhjs                                            
[0, 0, 2, 1, 0, 5, 4, 4, 3] | pLLLALMvMQQbedgfhhjkmolmnootpnxheebcuqfnkgb            | gLLPQcdcfeffhsnhqos                                    
[0, 0, 2, 2, 1, 5, 3, 3, 3] | nLLwvMzQQkcedhiklimjkmlmlajrndecatwojg                 | gLLPQcdcfeffhsrhqos                                    
[0, 0, 2, 2, 3, 3, 4, 4, 1] | rLvLMLMQvQLQcbdhggihkljlooqnqpqewxksootiebacacdgb      | cMcabbjqw                                              
[0, 0, 3, 0, 2, 6, 2, 3, 3] | mLLMwvAQQbecefkhjljkllxxoxauegaokle                    | fLAMcbcbdeehhwhxj                                      
[0, 0, 3, 0, 4, 5, 2, 1, 4] | mLLvzMQAQcdihgkijhjkllawurrafavtrfg                    | eLAkbcbddhxjqs                                         
[0, 0, 3, 1, 2, 4, 2, 2, 5] | lLLwLAPQccedghikjkjjkpajvrfepaada                      | eLAkbcbddhhjhr                                         
[0, 0, 3, 1, 3, 1, 5, 2, 4] | mLLLvMAQQcdeggjiikklllaruootromtskn                    | dLQbccchhrw                                            
[0, 0, 3, 1, 3, 4, 2, 1, 5] | mLLLLAAMQccfghfijkllklubajbfsaadkrf                    | fLAMcbccdeeemkihr                                      
