Weight Vector               | Iso Sig                                                   | Simplified IsoSig                                         
---------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 4, 6, 5, 6] | nLLAzPLLQkcedeggijmkmklmapsaafxgxatbof                    | cMcabbgqw                                                 
[0, 0, 0, 0, 1, 4, 6, 5, 5] | nLLMzLALQkcedfghijmmlklmtardahqlxphofv                    | cMcabbjqs                                                 
[0, 0, 0, 0, 1, 5, 6, 4, 5] | nLLvAAMPPkcdfhfiikljmlmmhsahshaaafeoum                    | dLQbcbchxjn                                               
[0, 0, 0, 0, 1, 6, 4, 4, 6] | oLLPvMvQPQccdefijlhjnnlnmmhsaaaaafnxqcmbg                 | eLAkbcbddhhjqn                                            
[0, 0, 0, 0, 1, 6, 5, 4, 5] | nLLvAAMPPkcdfhfiikljmlmmhsahshaaafinit                    | fLAMcbcbdeehhjhxj                                         
[0, 0, 0, 1, 0, 4, 5, 5, 6] | lLAwLLMQcbcbdgjjihkkkxxjxaafrfhmh                         | bkaajj                                                    
[0, 0, 0, 1, 0, 4, 6, 6, 4] | oLLPvMvQPQccdefijlhjnnlnmmhsaaaaafoxpcmbg                 | bkaajn                                                    
[0, 0, 0, 1, 0, 5, 4, 5, 6] | lLAwLLMQcbcbdgjjhikkkxxjxaargfhph                         | eLAkbcbddhhjhk                                            
[0, 0, 0, 1, 0, 6, 4, 5, 5] | nLLMzLALQkcedfghijmlmklmuarmauhmxutgbv                    | gLLPQcdcfeffhsnhqos                                       
[0, 0, 0, 2, 0, 5, 4, 4, 6] | sLLLLPLvPQPPQbefijijkmoonppnrqqrxxaaxrxhfvjfffoqdgg       | cMcabbjxr                                                 
[0, 0, 1, 0, 0, 6, 4, 5, 5] | kLLLLMQkbefhhiiijjjelqaffofhhu                            | fLAMcbcbdeehhjqqw                                         
[0, 0, 1, 0, 2, 3, 6, 5, 4] | rLLwPLMwMPLQccdehfgjijlmmopoqpqawaugvmdmiigsivlco         | cMcabbgaj                                                 
[0, 0, 1, 0, 3, 6, 4, 3, 4] | pLLwvMzPQAQcediilkjmjnmlnootarjnppeaekbfjpb               | dLQbccchhrw                                               
[0, 0, 1, 1, 0, 4, 5, 4, 6] | mLLLLMAAQbeghhjijkjlllelqafxfxquqfo                       | eLAkbcbddhxjqw                                            
[0, 0, 1, 1, 0, 5, 4, 4, 6] | mLLLLPAAQbeghhjijkjllltmqajafaqiqfo                       | hLAMzkbcbdefgghhjhhqqw                                    
[0, 0, 1, 1, 1, 3, 6, 5, 4] | mLLLLPLQQbegffhijkklllapttncghttjjr                       | cMcabbjak                                                 
[0, 0, 1, 1, 1, 4, 6, 5, 3] | lLLLPLMQccedhgigkjjkklufdsanhdgsb                         | cMcabbjqw                                                 
[0, 0, 1, 1, 1, 5, 3, 6, 4] | mLLLwMPPQacfeijkililklbsgnqmalacxrt                       | dLQbcbchxjj                                               
[0, 0, 1, 1, 2, 6, 3, 4, 4] | pLLMvMPPzMQacdeghijlkmnonoobsacalvraxdaaaho               | fLAMcbccdeeemkehw                                         
