Weight Vector               | Iso Sig                                                     | Simplified IsoSig                                           
-------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 7, 5, 6, 7] | oLLAzPvLQQccedegginlknknmmatwtarxxdtdvrbg                   | cMcabbjxr                                                   
[0, 0, 0, 0, 1, 5, 7, 6, 6] | mLLLLPAMQcdggjfhikllklhshgagcblasvk                         | cMcabbgaj                                                   
[0, 0, 0, 0, 1, 5, 7, 7, 5] | sLLvAwLPLAQPQcdfhfmnljokoqnrpprrhsahsaagohgmdoxbgnj         | cMcabbgqw                                                   
[0, 0, 0, 0, 1, 6, 7, 5, 6] | oLLLLMLLQQcbefigijmkmlnnnmxxaavfexhvvwvss                   | eLAkbcbddhhjqj                                              
[0, 0, 0, 0, 1, 7, 6, 5, 6] | oLLLLMLLQQcbefigijmkmlnnnmxxaavrexhvvvjss                   | gLAMPbcbdeffhhjhhqn                                         
[0, 0, 0, 1, 0, 6, 5, 6, 7] | mLAMvzMAQbcbdeijhkjlllhhjhhaaovsqqe                         | fLAMcbcbdeehhjhhs                                           
[0, 0, 0, 1, 0, 7, 5, 5, 7] | sLLvAwLPLAQPQcdfhfmnljokoqnrpprrhsahsaagohgmdnxbgnb         | bkaajj                                                      
[0, 0, 0, 1, 0, 7, 5, 6, 6] | mLLLLPAMQcdggjfhikllklhshgagcbtavfo                         | dLQbcbchhjw                                                 
[0, 0, 0, 2, 0, 6, 5, 5, 7] | tLLLLPvvPQLQQkbefijikqqllopnprqsrsxxaaxrhcvonffofqstgc      | dLQbcbchhjs                                                 
[0, 0, 1, 0, 2, 4, 7, 6, 5] | nLLwPLLPQkcedhfgilmlkkmmuarajbqbncjbcf                      | cMcabbjqw                                                   
[0, 0, 1, 1, 0, 5, 6, 5, 7] | nLLLLMAAMkbeghhjijkjlmmmelqafxfxquqqqa                      | fLAMcbcbdeehhjqxr                                           
[0, 0, 1, 1, 0, 5, 7, 5, 6] | nLLLMLPzQkcdefgjkjljmlmmaruanqmqafaohi                      | cMcabbjqs                                                   
[0, 0, 1, 1, 0, 6, 5, 5, 7] | nLLLLPAAMkbeghhjijkjlmmmtmqajafaqiqqqa                      | iLAMzMcbcbdefghhhhjhhhxxr                                   
[0, 0, 1, 1, 0, 7, 5, 5, 6] | nLLLMLPzQkcdefgjkjljmmlmaruakqlqafaqsl                      | gLLPQcdcfeffhsnhqos                                         
[0, 0, 1, 1, 1, 5, 6, 7, 4] | pLLMLvPPAMQacdehlhmjkjnnooonkanqacmffvmfaai                 | dLQbcbchxjn                                                 
[0, 0, 1, 1, 1, 7, 5, 6, 4] | sLLwLwMPwAAMQcedfijkilmkmppoqrqruarjjmacadgvdffdagb         | eLAkbcbddhhjqn                                              
[0, 0, 1, 1, 3, 6, 5, 5, 4] | rLLvALzMPPAQccdfhjimnlklponqqqphsahpaaawkwqxnxwjc           | fvPQcceddeerrnskr                                           
[0, 0, 1, 2, 1, 4, 6, 5, 6] | qLLLLMvLAQQkbefigijklnnommoppxxaavfxhvbccvckqv              | bkaajn                                                      
[0, 0, 1, 2, 1, 5, 6, 4, 6] | pLLLLPLvQQQbefijijmkmnnmoooxxaaxfxlhfbcjcck                 | eLAkbccddemken                                              
[0, 0, 1, 2, 1, 6, 4, 4, 7] | nLLLLMzMQkbefigijljklmmmxxaavrlpxhkvjr                      | hLLAAkbedeefgghhntexqw                                      
[0, 0, 1, 2, 2, 6, 5, 4, 5] | tLLvMLLzPzQPQkcdfgjmnloproqnrrpqsshsagpaalhndwpnldkpsb      | fLAMcbcbdeehhjqqw                                           
[0, 0, 2, 0, 3, 5, 6, 4, 5] | oLLvMLQzQPccdfgjiihlkmlnnnhsagpsjndknvhxx                   | fLLQcbeddeehhokum                                           
[0, 0, 2, 0, 3, 6, 5, 3, 6] | qLLLvMAAwQPkcdgifkjhilonmpopphshcoaafocdhbargf              | fLAMcbcbdeehhjhxj                                           
[0, 0, 2, 0, 3, 7, 5, 4, 4] | oLLvAvMAQQccefhilhimnknmmnltaxotvvgwjbbrb                   | fLAMcbccdeeemkihr                                           
[0, 0, 2, 0, 4, 6, 5, 4, 4] | rLLvMLLwQPPQccdfikmjionnlqqppoqhsagaplgtbvcamqeos           | gLLAQbcedfeftsqsxwk                                         
[0, 0, 2, 1, 1, 6, 5, 4, 6] | pLLLLPLvQQQbefijijmkmnnmoooxxaaxrxlhfbkjccv                 | hLALPkbcbegfgghhjshqos                                      
[0, 0, 2, 1, 1, 7, 4, 5, 5] | oLLwPLzPPQccdehfgjkmklmnnnawaurvifggrfdxx                   | hLLAAkcdecefgghsmrqjqn                                      
[0, 0, 2, 1, 2, 3, 7, 5, 5] | vLLvvwAAzPPMAQQcdhlgmkmrlosqqtouqutsuaffanlqmtxravgabafadvn | cMcabbjaj                                                   
[0, 0, 2, 1, 2, 4, 5, 4, 7] | oLLMvLAAMQcacdegkiklmknmnnnkanmonjaakmgfj                   | fLAMcbccdeeemkehj                                           
[0, 0, 2, 1, 2, 7, 5, 4, 4] | rLLvvwwQMMQQccdfjhonnolmlqpmpqqtkkkjqhqqxwsrsvfno           | eLAkbcbddhhjhr                                              
[0, 0, 2, 1, 3, 7, 4, 3, 5] | qLLwvAMPMwQkcedhjkhjmjnlpnpoppajralrdhdbfakegb              | jLvAzQQcfeghighiiutuafobgkv                                 
[0, 0, 2, 2, 1, 5, 4, 4, 7] | sLLLLPvvQQAMQbefijimkmmllnopqrqrxxaaxrxhvconkccaebg         | hLAMzkbcbdefgghhjhhqqw                                      
[0, 0, 2, 2, 2, 6, 3, 4, 6] | pLLvvzQQLQQcdfmkkhiinlnomooukfauukffadwsfkw                 | gLLAQacdefffnkqxqlu                                         
[0, 0, 2, 2, 2, 7, 3, 4, 5] | sLLvLMMMMPzMQcdgifjkljinmopqrrqrhsgsgslhgbjblamaacq         | dLQbcbchhww                                                 
[0, 0, 2, 2, 3, 7, 3, 3, 5] | pLLvLwMLQQQbeefkjjnknmllooohhagakkxmimbgwwj                 | gLLAQbcedfeftsqsqwj                                         
[0, 0, 3, 0, 2, 5, 4, 5, 6] | pLLLLPvwQQQbefijihkmonnmlooxxaaxrshvvbkgbws                 | hLAMzkbcbdefgghhjhhhhw                                      
[0, 0, 3, 0, 4, 6, 5, 4, 3] | sLvAwMwQzMLMQcdefhihkjklmnoqpqrruruqjagxgorqkjeokbv         | dLQbcbchxwn                                                 
[0, 0, 3, 1, 2, 6, 4, 6, 3] | oLLvvMQPAQccdjflkhiimlnmnnpwwoaakrraiwfko                   | gLLPQcdcfeffhsrhqos                                         
