Weight Vector                | Iso Sig                                                           | Simplified IsoSig                                                 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 6, 8, 7, 7]  | lLALMLMPcbcbefgihjkkkaifwaaxxqqof                                 | cMcabbjqs                                                         
[0, 0, 0, 0, 0, 8, 6, 7, 7]  | lLALMLMPcbcbefgihjkkkaifwaahhqqfo                                 | fLAMcbcbdeehhjhxj                                                 
[0, 0, 0, 0, 1, 8, 6, 6, 7]  | mLLLLPAMQcdggjfhikllklhshgaocbpavrg                               | bkaajj                                                            
[0, 0, 0, 1, 0, 6, 7, 6, 8]  | oLLAzMMzMPccedegfhijklmnnnpajaavhuxhxhxte                         | dLQbcbchhjs                                                       
[0, 0, 0, 1, 0, 6, 8, 6, 7]  | rLLLLMLvAQAQcbefigijkommlmpoqpqxxaavfehcbcffdbebo                 | cMcabbgaj                                                         
[0, 0, 0, 1, 0, 6, 8, 7, 6]  | mLLLLPAMQcdggjfhikllklhshgaocbuasss                               | bkaajn                                                            
[0, 0, 0, 1, 0, 7, 6, 6, 8]  | oLLAzMMzMPccedegfhijklmnnnpajaavqmxhxhxte                         | fLAMcbcbdeehhjhhs                                                 
[0, 0, 0, 1, 2, 6, 7, 6, 6]  | qLLLLPvPzQQkbefijilnkpllnpoopxxaaxfqqhxrnrxwwx                    | eLAkbcbddhhjqj                                                    
[0, 0, 0, 1, 2, 7, 6, 5, 7]  | qLLLLPvPzQQkbefijilnkpllnpoopxxaaxrqqhxonrxwwx                    | gLAMPbcbdeffhhjhhqn                                               
[0, 0, 0, 2, 1, 7, 5, 6, 7]  | sLLvMvLPPMPQQcdfgnolmlmprlqorrpqhsagaaalhbbdwhnldfb               | dLQbcbchhjw                                                       
[0, 0, 1, 0, 1, 7, 6, 5, 8]  | pLLLLMLzMQQbefigijlklmmonnoxxaavreahvbkefor                       | hLAMzkbcbdefgghhjhhhxj                                            
[0, 0, 1, 0, 2, 8, 6, 5, 6]  | rLLwPLzPMPzQccdehfgjjmknonoqqpqawatrvirjklhupfrgk                 | eLAkbcbddhhjqn                                                    
[0, 0, 1, 1, 1, 8, 5, 5, 7]  | sLLLvzQPLALQQacfflhimiknloprrqqrbogoalxucsagcgddiis               | cMcabbjqw                                                         
[0, 0, 1, 1, 1, 8, 5, 6, 6]  | nLLLAvPQMkcefdgkllijjmmmpuqgphsskffxaq                            | eLAkbcbddhhwqn                                                    
[0, 0, 1, 1, 3, 6, 5, 5, 7]  | sLLLLPvLAQMAQbefijinlkpnnlpoqqrrxxaaxrquhxksfxvmsvc               | cMcabbjxr                                                         
[0, 0, 1, 2, 0, 7, 6, 6, 6]  | qLLLLLLLQPQkbefiijnolkopmmnppxxaarxuxhrvaonkdi                    | jLAMLLQbcbdeghiiixxjxxjqxoj                                       
[0, 0, 1, 3, 1, 7, 5, 5, 6]  | tLLvzzzMMwQAQkcdhfjnoklkmprqospssrhshfaaapaogbdenxgrfg            | gLLPQcdcfeffhsnhqos                                               
[0, 0, 2, 0, 0, 6, 7, 7, 6]  | pLLLLLLPQPQbefiijmhlknnmmooxxaafxpbhrbbocqr                       | eLAkbcbddhhjhk                                                    
[0, 0, 2, 0, 3, 5, 7, 6, 5]  | sLLvLLzAQAMPQcefjijnjimmlporqqrrqtujjjqjbnnjasqacfj               | fLLQcacdeeejkaqnv                                                 
[0, 0, 2, 0, 3, 7, 5, 4, 7]  | pLLvwLzPQQQaefginnnmmkolmoobigomuagkgrcnwgg                       | fLAMcbcbdeehhwhxj                                                 
[0, 0, 2, 1, 0, 6, 7, 6, 6]  | qLLLLLLLQPQkbefiijnolkopmmnppxxaafxuxhrvaoccdi                    | gLLAQbcedfeftsasxnr                                               
[0, 0, 2, 1, 1, 6, 7, 5, 6]  | sLLLLMLLAMPQPbefigijjklompopqqrrxxaavfexhvegmtmibic               | eLAkbccddemken                                                    
[0, 0, 2, 1, 1, 7, 5, 5, 7]  | pLLLLMvLQQQbefigijkomnnlmooxxaavrxhrcbkcvsv                       | gLAMPbcbdeffhhjqqqj                                               
[0, 0, 2, 1, 2, 6, 5, 4, 8]  | pLLMLwMPzMQacdehgikjlmnoononkanqagewxiaaats                       | hLALPkbcbegfgghhjshqos                                            
[0, 0, 2, 1, 2, 6, 7, 6, 4]  | rLLLvAwQLwQQccdgfjihimolmpqopqqhshkisfoadojxwsjrv                 | gLLAQbeddfffhhokxjo                                               
