Weight Vector                | Iso Sig                                                             | Simplified IsoSig                                                   
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 6, 8, 7, 8]  | oLLAzPLLMQccedeggijmkklnnnapsaafxgxabogjf                           | cMcabbgaj                                                           
[0, 0, 0, 0, 1, 6, 8, 7, 7]  | oLLLLMLMAQcbefigijljkmnnnmxxaavfelxhrepdg                           | dLQbcbchxwn                                                         
[0, 0, 0, 0, 1, 7, 8, 6, 7]  | pLLLLPLvQQQbefijijnkmoomonnxxaaxfxxhfwvjsss                         | fLAMcbcbdeehhjhxn                                                   
[0, 0, 0, 0, 1, 8, 6, 6, 8]  | pLLLLLPzQMQcdgejhimnklkoonohshoabbaagcbipke                         | fLAMcbcbdeehhjhxj                                                   
[0, 0, 0, 0, 1, 8, 7, 6, 7]  | pLLLLPLvQQQbefijijnkmoomonnxxaaxrxxhfvjjsss                         | hLAMzkbcbdefgghhjhhhxj                                              
[0, 0, 0, 1, 0, 6, 7, 7, 8]  | nLAMzvMLQkbcbdefjklmmkmlhhjhhhaakmmfuf                              | dLQbcbchhjs                                                         
[0, 0, 0, 1, 0, 6, 8, 8, 6]  | pLLLLLPzQMQcdgejhimnklkoonohshoabbaagcbmpfe                         | cMcabbjqs                                                           
[0, 0, 0, 1, 0, 7, 6, 7, 8]  | nLAMzvMLQkbcbdefjkmlmkmlhhjhhhaatftkiv                              | gLAMPbcbdeffhhjhhhk                                                 
[0, 0, 0, 1, 0, 8, 6, 7, 7]  | oLLLLMLMAQcbefigijljkmnnnmxxaavrelxhrdlag                           | hLAMzkbccdefggemkihhhn                                              
[0, 0, 0, 2, 0, 7, 6, 6, 8]  | uLLLLPvvzQLQQQcbefijikrllopnpsqtrrstxxaaxrhxonffofqstxagc           | eLAkbcbddhhjhk                                                      
[0, 0, 1, 0, 0, 8, 6, 7, 7]  | lLLLLAMQcbefihhjhkkjkxxdavcmcaldo                                   | gLAMPbcbdeffhhjhxxr                                                 
[0, 0, 1, 0, 1, 6, 8, 5, 8]  | tLLwPLwvMQMPPkcdehfgjlkplmmpqrqsrsawatgvmwvmkvcgatuvgc              | bkaajn                                                              
[0, 0, 1, 0, 3, 8, 6, 5, 6]  | rLLLLMvLQAMQcbefigijklmnnoqqqppxxaavrxhvcfccxlxeg                   | eLPkbcdddhrrnk                                                      
[0, 0, 1, 1, 0, 6, 7, 6, 8]  | oLLLLMAAMPcbeghhjijkjlmnnnelqafxfxquqqqfo                           | gLAMPbcbdeffhhjhxqw                                                 
[0, 0, 1, 1, 0, 7, 6, 6, 8]  | oLLLLPAAMPcbeghhjijkjlmnnntmqajafaqiqqqfo                           | jLAMzMPbcbdefghiihhjhhhhqqw                                         
[0, 0, 1, 1, 1, 6, 7, 8, 5]  | qLLLLMLvMQQkbefigijklnnopmoopxxaavfehvvrvevoor                      | eLAkbcbddhhjqj                                                      
[0, 0, 1, 1, 1, 6, 8, 7, 5]  | oLLLPLLPQPccedhgjijlkmlnnnlhfdgaddgggsdmm                           | dLQbcbchxjn                                                         
[0, 0, 1, 1, 1, 7, 5, 8, 6]  | nLLLLMAMPkcdgefhjiklmlmmhshvwclbtaaota                              | eLAkbcbddhhjqn                                                      
[0, 0, 1, 1, 2, 8, 5, 5, 7]  | pLLvAvQAMPQcefhlghjlmnloonoqaqaqvnlqaioaiqj                         | eLAkbcbddhhwqn                                                      
[0, 0, 1, 1, 2, 8, 5, 6, 6]  | mLLwPLAMQcdehfjjhilllkawaurxxfdattr                                 | fLAMcbcbdeehxjxhw                                                   
[0, 0, 1, 1, 3, 5, 6, 6, 7]  | vLLLLPvPzQzAAQPbefijimnkpnnomprqsttuuxxaaxflqhxkbvoxcvclxrg         | cMcabbjxr                                                           
[0, 0, 1, 1, 3, 7, 6, 6, 5]  | sLLLLMLvQQzQPbefigijkolmmnnpqqrrxxaavrehcvfckctaspv                 | fvPQcdecedekrsnrs                                                   
[0, 0, 1, 1, 3, 8, 5, 5, 6]  | nLLwPLLQPkcdehfjhljlklmmawatrxkhrfcgiw                              | dLQbcbchhjw                                                         
[0, 0, 1, 2, 1, 6, 7, 5, 7]  | qLLLLPvvQQQkbefijinkmmoonppnpxxaaxflhvcbcjccjk                      | fLLQcacddeejkaikk                                                   
[0, 0, 1, 2, 2, 6, 7, 6, 5]  | tLLLLLLLAPAAQkbefiijnklqpnnoorssrsxxaafxqxhaxkbwkgffwb              | eLAkbcbddhxjqw                                                      
[0, 0, 1, 2, 3, 5, 6, 6, 6]  | qLLLLPvLPQQkbefijinkmpnnopmpoxxaaxfqhvvkbsvvwb                      | bkaajj                                                              
[0, 0, 1, 3, 2, 5, 7, 7, 4]  | vLvLPvLAQPvLQQQbdgiillklnkotuuputstrsdnhjjxxpecbkadcbvvvvfc         | cMcabbgqw                                                           
[0, 0, 2, 0, 3, 6, 7, 5, 6]  | pLLvMMPLPPQcdfhfikhlnmnmooohsafsstnharmoxqb                         | gLLAQbeddfffhhokxjo                                                 
[0, 0, 2, 0, 3, 7, 6, 4, 7]  | rLLLvMMAwPPQccdgifklhilpnqnopqqhshcoahfogdmadkrgf                   | gLAMPbcbdeffhhjhhqn                                                 
[0, 0, 2, 0, 3, 9, 5, 5, 5]  | tLLwPLPwwQwMAkcdehfgjiklnmnoqrprssawaurvidattgvflfcgif              | fLLQcacddeejkaikr                                                   
[0, 0, 2, 0, 4, 4, 7, 6, 6]  | nLLvQLLPQkcefhgglmmjkklmpaampclgvwbbcg                              | cMcabbjqw                                                           
[0, 0, 2, 0, 4, 7, 6, 5, 5]  | pLLLMvPPMMQbcegfjimkjlnoonolspagepigsvaadew                         | hLALAkcbbeffggqqjnmxkj                                              
[0, 0, 2, 1, 1, 7, 6, 5, 7]  | qLLLLPvvQQQkbefijinkmmoonppnpxxaaxrlhvcbkjccjv                      | iLAwLQccbbdfhghhhhkhjhqjf                                           
[0, 0, 2, 1, 2, 5, 6, 5, 8]  | pLLMLLMLAMQacdehgjkjmlnonoonkanqmoekmxaapqb                         | gLALQbcbefffxxjndxd                                                 
[0, 0, 2, 1, 3, 7, 5, 4, 7]  | pLLvLQwwQPQcdggfijlmmkononotfggfvfapddekawu                         | hLALPkbcbegfgghhwshqos                                              
[0, 0, 2, 1, 4, 8, 4, 4, 6]  | sLLwvMwAQLPMQcediigkjjnmoonqpqrrtarjnvpeefbxxvacvxb                 | cMcabbjak                                                           
[0, 0, 2, 2, 1, 6, 5, 5, 8]  | tLLLLPvvAQLQQkbefijimkqppnqqropsrsxxaaxrxhxvjvxalvkaog              | iLAMzMcbcbdefghhhhjhhhxxr                                           
[0, 0, 2, 2, 2, 7, 4, 5, 7]  | rLLvvzQQvPQQccdfmkkhiinpomoppqqukfauukffwwbfkcvvc                   | fLAMcbcbdeehhwhxj                                                   
[0, 0, 3, 0, 2, 6, 5, 6, 7]  | qLLLLPvwMQQkbefijihkpnnmlpoopxxaaxrshxbkgbxwsx                      | iLAMzMcbcbdefghhhhjhhhhhr                                           
[0, 0, 3, 0, 4, 7, 6, 5, 4]  | oLvLALMPPQcbdhgkilmljnlnmndnxhmpuadnajlkq                           | fLLQcaceeedjkuxkj                                                   
[0, 0, 3, 0, 4, 9, 4, 4, 5]  | nLAvLLPPQkbcbfkjikiljmmmhhjmlsslsifjrr                              | gLAMPbcbdeffhhjqxxn                                                 
[0, 0, 3, 1, 2, 8, 4, 6, 5]  | oLLLPzMMzQccdghgfikjlmnnmnhshagsltaaapgro                           | hLLPAkaceedfggnkxknnxr                                              
[0, 0, 3, 1, 2, 8, 5, 6, 4]  | pLLvPLMMwQQcdgfjglhlkoomnnopspcmcafpxmmjpxk                         | hLALPkbcbegfggxhnshqos                                              
[0, 0, 3, 1, 3, 5, 7, 4, 6]  | wLLwvAvQPLMvPQQkcedhjljikooqqptrssutvuvtarraqdrlfnaqerswgvgvfc      | cMcabbjaj                                                           
[0, 0, 3, 1, 3, 6, 4, 5, 7]  | nLLvPPzAQkcdfgfjkljmjlmmhslgwxaadpxncv                              | hLALAkcbbeffggqqnnmxkj                                              
[0, 0, 3, 1, 3, 9, 4, 4, 5]  | mLLvLAAQQbefffhjljklklhhagboolgadpr                                 | hLALAkbcbeffgghxjnmxkj                                              
[0, 0, 3, 1, 5, 4, 6, 5, 5]  | qLLvPzMzLQQkcdigfihknmlopopopawugffvlbgriaxxux                      | fLLQcaceeedjkuxkn                                                   
[0, 0, 3, 1, 5, 7, 5, 4, 4]  | tLvAwMvLAzQPQkcdefhijommqpnopsssrruruqjagjnoaxgrqdnofo              | fLAMcbccdeeemkihn                                                   
[0, 0, 3, 2, 1, 5, 6, 6, 6]  | qLLLMLwAzQPkcdgfgihljnolmppophshagpshflaguatsq                      | gLLAQbcedfeftsasxnr                                                 
[0, 0, 3, 2, 2, 6, 5, 4, 7]  | rLLLLPvzPPQQcbefijinkmoomqpqpoqxxaaxrphvvjglkdkra                   | gLALQbcbefffxxjnmxm                                                 
[0, 0, 3, 2, 2, 7, 4, 5, 6]  | qLLLPLzPAPPkccfggjilmmkoonppplnaljaqajobplukkk                      | iLLALQcbddcfgghhdwjjctuss                                           
[0, 0, 3, 2, 2, 7, 6, 5, 4]  | rLLvPMwAMLAQccdigifjklmmopnqqpqhshgsoaahashaimxfa                   | hLALPkbcbegfgghhjshqos                                              
[0, 0, 3, 2, 3, 7, 4, 6, 4]  | oLLLLLAQzQccdehgjgiklmnnmnhsuswqfcxelaxtv                           | fLAMcbcbdeehxjxhs                                                   
[0, 0, 3, 3, 2, 4, 6, 6, 5]  | uLLvvvPQMPLQMQccdjkkhiipporrssqqrqttukkuukffabfqlatgkljvo           | dLQbcbchhww                                                         
[0, 0, 3, 3, 3, 6, 4, 3, 7]  | uLLvvLwPQQAzQMccdmmhiipnkmpoorpqssttukpakffhtlljnnagoggmv           | gLLPQcdcfeffhsrhqos                                                 
[0, 0, 3, 3, 3, 7, 5, 4, 4]  | qLvLAwPMwPQkbdhgghkillmpnopoplwxhfsxqssxaffsvs                      | fLLQcacdeeenkqxvn                                                   
[0, 0, 4, 0, 2, 6, 5, 6, 6]  | pLLLwPPzAMQcdefjhjkllmmnooohslaasimhnaapkgg                         | jLLAMzQbdedfghiiidwqsuqqqhx                                         
[0, 0, 4, 0, 4, 9, 3, 4, 5]  | nLAvLPMPPkcbbhjfjillkmmmqqnmbbbbpxpnnn                              | gLAMPbcbdeffhhjqqqj                                                 
[0, 0, 4, 0, 5, 5, 6, 4, 5]  | tLLvMLPzAPzQMkcdfikghimkmpqrpqrssshsabafogssbaulprrtte              | gLLPQaceedffjkxknnn                                                 
[0, 0, 4, 0, 5, 6, 5, 3, 6]  | sLLvPzAQvLQPQcdigfikljkpmonqrqrrawugffdatldgaofavut                 | dLQbcbchxjj                                                         
[0, 0, 4, 1, 2, 8, 5, 5, 4]  | oLLALLzMPQcbedegjiiknlmnmnxxrxctdefmgbeji                           | hLALPkbcbegfggxhjshqos                                              
[0, 0, 4, 1, 4, 9, 3, 3, 5]  | mLLvLAAQQbefffhkijllklhhagbvinglhtr                                 | iLAwMMccbbdfgghhhhkxjiqsk                                           
[0, 0, 4, 2, 3, 5, 4, 4, 7]  | qLLvAwwAMQPkcdfhfilknoklmpopphsaxsaaxaascgtsfo                      | hLLAMkacdefgggjkaqqhvn                                              
[0, 0, 4, 2, 4, 5, 6, 5, 3]  | oLLLzLMAAQcccghjkijimllnnntnmqdaaqljrchex                           | fLLQcacdeeejkqxvn                                                   
[0, 0, 4, 2, 4, 6, 3, 4, 6]  | rLLwPvLAAPAQccedhfjijlkonopqppqtaragehlgbqqqagggg                   | gLLAQbcedfeftsqsxwr                                                 
[0, 0, 5, 0, 4, 2, 5, 6, 7]  | pLLvzzAQAMQcdifhjhikmllnonoawufsavvqcfcudjv                         | eLAkbcbddhhjhr                                                      
[0, 0, 5, 0, 4, 5, 4, 5, 6]  | sLLvMvzMQPMPQcdfimnjiolmlpqporrrhsabqthglsbfaalcknn                 | jLLAPzQbcedgfhiiitsajssqqjs                                         
[0, 0, 5, 0, 4, 7, 4, 3, 6]  | qLLLwvQPMAAkaefgllikkmknmooppbiqwqamccqnxtwnhc                      | eLAkbcbddhxjqs                                                      
[0, 0, 5, 0, 4, 8, 3, 4, 5]  | oLLvMAPPzQcccgihfkijlmnnmnqfawsfucaaaueio                           | gLALQbcbefffxhnsuuq                                                 
[0, 0, 5, 0, 4, 8, 4, 3, 5]  | vLLLLvwMMwPQMMQcdggfinmlksqrnoqrtuutuhshgcoiakbtuqvgawadppw         | fLAMcbcbdeehxjqhk                                                   
[0, 0, 5, 0, 6, 6, 5, 4, 3]  | tLLvMvwMLMPQQkcdfgimjmkqpqooporrsshsagsddgbjjjjnbblugc              | hLLPAkaceedfggjkxknnqw                                              
[0, 0, 5, 0, 6, 8, 3, 2, 5]  | pLLLvMLPAQQaegjhlljmnkoononbiiiaacvfkwttktk                         | fLAMcbcbdeehxjqhr                                                   
[0, 0, 5, 1, 3, 6, 4, 5, 5]  | rLLLLvAMAMAQcccfgghlknmolmpoqqqajagjgexdoafgtusrr                   | iLLAPMcaceegfghhjkuxlpnpr                                           
[0, 0, 5, 1, 4, 2, 6, 4, 7]  | qLLLvwLMQAQkbedjmimolkkkonppphhfhafluhhgbcgddp                      | dLQbccchhrw                                                         
[0, 0, 5, 1, 4, 8, 3, 3, 5]  | sLLwLAwPwAAPQcedghijllmlnporprqrpajvrfqutagadqasaof                 | kLvAAwQkbefgghijjijedepufmumij                                      
[0, 0, 5, 1, 4, 9, 3, 3, 4]  | oLvLMLMAPQcbdhggkhilmknmnndnxgvtosxjbljap                           | gLLPQcdcfeffqsjhqos                                                 
[0, 0, 5, 1, 5, 1, 7, 4, 6]  | pLLLwLzAQPQcdefhhkknlkomonoaruaorlciofaftek                         | eLMkbcdddhhhqx                                                      
[0, 0, 5, 1, 5, 2, 4, 5, 7]  | pLLvPzAAAAQcdigfhkjilmmnnooawugfsdxvcnsthrv                         | gLLAQbcdeeffxkrllck                                                 
[0, 0, 5, 1, 5, 2, 6, 3, 7]  | pLLAwvMPAAQbedefhijlkmnnoooxxrxdefcfktaakgn                         | fLMPcbcdeeehhhhwr                                                   
[0, 0, 5, 1, 5, 7, 5, 2, 4]  | qLvAwMvwQQMkcdefhijlknmnnooppuruqjaqoogbfcppsb                      | eLAkbccddemkij                                                      
[0, 0, 5, 1, 6, 8, 4, 2, 3]  | pLvAwMwzQAQcdefhijmklmmnnoouruqjaqxokkvppsb                         | fLLQcbeddeehhokum                                                   
[0, 0, 5, 1, 6, 9, 2, 2, 4]  | pLLzwLMPLQQcdedkihmllmonnoohsaoummanniuaenf                         | hLALMkbcceffgglpkkexbk                                              
[0, 0, 5, 1, 6, 9, 2, 3, 3]  | mLvALAAPQcdefighjlllkkurucjbfuaxrrj                                 | iLvPAQcafegeghghnqxgrbxbj                                           
[0, 0, 5, 1, 7, 4, 4, 3, 5]  | qLLLAvMPAMMkcddfggkljmknooppptrsagbgqfawaimees                      | gLALQbcbefffxhjsmmq                                                 
[0, 0, 5, 1, 7, 6, 4, 3, 3]  | qLLLwMzwMAQkcdgffhkjjmoopnppohshasohtvaexmcrgv                      | fLAMcbcbdeehhjqxr                                                   
[0, 0, 5, 1, 7, 8, 3, 3, 2]  | rLLvLvzzQQQQccdgjokpnmnlolnmqqqhsgsddptattgbbcjnb                   | eLAkbcbddhhwqj                                                      
[0, 0, 5, 2, 4, 5, 4, 3, 6]  | wLLvPLzQvMMLLQQkcdigghmijlmqnssruruvtvvawugrsavxfreoalglvpbfvv      | cPcbbbqxh                                                           
