Weight Vector                 | Iso Sig                                                             | Simplified IsoSig                                                   
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 1, 6, 8, 7, 8]   | qLLLLMPLMwQkbefigihjkmlloonppxxaavfgehjkjajbof                      | cMcabbjqs                                                           
[0, 0, 0, 0, 2, 8, 7, 6, 7]   | qLLLLPvLAQQkbefijilnkpoononppxxaaxrdlhxfcjfjxa                      | gLAMPbcbdeffhhjhhqn                                                 
[0, 0, 0, 1, 0, 6, 8, 8, 7]   | qLLLLPLwMQPkbefijiglknllonpopxxaaxffqhvrnubego                      | cMcabbgaj                                                           
[0, 0, 0, 1, 0, 8, 6, 8, 7]   | qLLLLMPLMwQkbefigihjkmlloonppxxaavrgehjgjajbof                      | fLAMcbcbdeehhjhxj                                                   
[0, 0, 0, 1, 1, 6, 8, 7, 7]   | qLLLLMLvAQQkbefigijkommnmonppxxaavfehcbcgfffib                      | bkaajn                                                              
[0, 0, 0, 1, 1, 6, 8, 8, 6]   | mLLLLMPPQbefigihjjklllxxaavfgexhovr                                 | dLQbcbchxwn                                                         
[0, 0, 0, 1, 1, 7, 8, 6, 7]   | qLLLLPLLMAQkbefihiljknmmpnoppaxaucfxuucbbxbuvc                      | eLAkbcbddhhjqj                                                      
[0, 0, 0, 1, 1, 8, 6, 6, 8]   | mLLLLMPPQbefigihjjklllxxaavrgexhovj                                 | hLALPkbcbegfgghhjshqos                                              
[0, 0, 0, 1, 1, 8, 6, 7, 7]   | qLLLLMLvAQQkbefigijkommnmonppxxaavrehcfcgfffib                      | bkaajj                                                              
[0, 0, 0, 2, 0, 7, 6, 7, 8]   | tLLLLPvPMALMQkbefijilhkollnrsprrssxxaaxrqbhxonoaxcvrxa              | fLAMcbcbdeehhjhhs                                                   
[0, 0, 1, 0, 0, 6, 8, 7, 8]   | lLLLLAMQcbefihhjhkkjkxxmavctcaixk                                   | dLQbcbchxjn                                                         
[0, 0, 1, 0, 0, 7, 8, 8, 6]   | pLLLLPLLQQPbefijijhkmnnmnooxxaaxfxbhfbsjbaj                         | eLAkbcbddhhjhk                                                      
[0, 0, 1, 0, 2, 5, 8, 7, 7]   | qLLvzPzMMQMkcdhfijmnkkollnppphshfnaaapojfvoxdp                      | eLPkbcddddrwos                                                      
[0, 0, 1, 0, 2, 8, 7, 6, 6]   | uLLLLPLvPQLzQQcbefijijkmnnmrsprqtsstxxaaxrxhffcjaibluvrbo           | gvLQQcdefeffnjndspx                                                 
[0, 0, 1, 0, 2, 9, 6, 6, 6]   | sLLvzvQzAAMQQcdhlkjnojplmqroppqrhshauaaaxtvbeanfjog                 | eLAkbcbddhhwqn                                                      
[0, 0, 1, 1, 0, 8, 6, 7, 7]   | nLLLLMLQMkbefigijlljkmmmxxaavrelmxhded                              | iLAwMMcbcbdfgghhhhjhrmhwr                                           
[0, 0, 1, 1, 1, 7, 8, 6, 6]   | wLLLLPLvQPzvQAQkbefijijmkmpmnrqtttuusvvxxaaxfxlhfmjgibvvwnnfqv      | fLAMcbcbdeehhjqxr                                                   
[0, 0, 1, 1, 1, 8, 7, 6, 6]   | sLLLLPLPAwAPQbefijijmljknpoqprrrxxaaxrxaxahdaxabtvb                 | hLAMzkbcbdefgghhjhhqqw                                              
