Weight Vector                 | Iso Sig                                                                | Simplified IsoSig                                                      
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 7, 9, 8, 7]   | rLLLLMLLAQLQcbefigijjkloomnppqqxxaavfexhvmaggibof                      | bkaajj                                                                 
[0, 0, 0, 0, 0, 9, 7, 7, 8]   | rLLLLMLMwQMPcbefigijljkonomppqqxxaavrelxhilagrntf                      | eLAkbcbddhhjhr                                                         
[0, 0, 0, 0, 1, 9, 7, 7, 7]   | qLLLLQvMzPQkbefighiljnlmpooopxxaavcrahdvcxxggg                         | eLAkbcbddhhjqn                                                         
[0, 0, 0, 0, 2, 7, 8, 7, 7]   | qLLLLPvPzQQkbefijimnkpllnnoppxxaaxfeehxrnvrvxa                         | gLAMPbcbdeffhhjhhqj                                                    
[0, 0, 0, 1, 0, 7, 9, 7, 7]   | pLLLLMLMwQQbefigijljkonmmooxxaavfelxhmlsvrr                            | cMcabbjqs                                                              
[0, 0, 0, 1, 1, 8, 6, 7, 8]   | nLLLLPLPQkbefijijlmjkllmxxaaxrxqqahonc                                 | fLAMcbcbdeehhjhxj                                                      
[0, 0, 0, 1, 1, 8, 7, 6, 8]   | qLLLLPLvQQMkbefijijnkmoomopppxxaaxrxxhfvjjsald                         | iLAMzMcbcbdefghhhhjhhhhqn                                              
[0, 0, 0, 2, 1, 6, 8, 8, 6]   | rLLLLLLPPMMQcbefiijjnlkonnopqpqxxaafxlqhrckbvxxbv                      | bkaajn                                                                 
[0, 0, 1, 0, 2, 7, 8, 7, 6]   | uLLLLPLvPQLLQQcbefijijkmoomrpsrqtsstxxaaxfxhfvrjafilurwbg              | hLLAMkbeddfggghhokxhmu                                                 
[0, 0, 1, 0, 2, 9, 6, 6, 7]   | qLLvzwQzMAQkcdhikijmnlkopnppohshsanaaajvstntiv                         | gLLAQaceefefnkuxxnn                                                    
[0, 0, 1, 1, 0, 6, 8, 8, 7]   | mLLLLMPPQbefigihjjklllxxaavfgexhngo                                    | dLQbcbchxjn                                                            
[0, 0, 1, 1, 0, 7, 8, 8, 6]   | pLLLLPLLQQPbefijijnlkmnnmooxxaaxfxuuhfocjaj                            | hLALAkcbbeffggqqnnmxnr                                                 
[0, 0, 1, 1, 0, 8, 6, 8, 7]   | mLLLLMPPQbefigihjjklllxxaavrgexhkgj                                    | gLAMPbcbdeffhhjhxxr                                                    
[0, 0, 1, 1, 0, 8, 7, 8, 6]   | pLLLLPLLQQPbefijijnlkmnnmooxxaaxrxluhffcjaj                            | kLAMzLPkbcbdefhjijjhhjhhhkhxck                                         
[0, 0, 1, 1, 1, 9, 6, 6, 7]   | tLLwPLwLQLMzQkcdehfjjjnlkmooprqrssawatrxxrjrvkhugjgvmg                 | cMcabbjqw                                                              
[0, 0, 1, 1, 2, 5, 8, 8, 6]   | pLLvvzAQMQQcdjjkhniimnloomopkffpkarrlgssfbw                            | eLPkbcddddrwos                                                         
[0, 0, 1, 1, 2, 6, 7, 6, 8]   | tLLLLPvLzQPPQkbefijinkqnnpmorpsssrxxaaxfqhxkbvvjtfavcv                 | gLLAQbcedfeftsasxnr                                                    
[0, 0, 1, 1, 2, 6, 8, 6, 7]   | qLLvPLzMMQMkcdhgikmnjlklonppphshgvuaapbbjfoxpm                         | dLQbcbchxwn                                                            
[0, 0, 1, 1, 2, 6, 8, 8, 5]   | oLLvAMMMzQccdfhfjihklmnmnnhsaqslaniaauvrg                              | fLLQcbeddeehhokum                                                      
[0, 0, 1, 1, 4, 5, 7, 7, 6]   | oLLvMLMPAQccdfgijlmikjnmnnhsagguaagxfeope                              | cMcabbgqw                                                              
[0, 0, 1, 2, 0, 7, 6, 7, 8]   | oLLLLPAAMPcbeghhjijkjlmnnntmqajafaqiqqqfo                              | jLAMzMPbcbdefghiihhjhhhhqqw                                            
[0, 0, 1, 2, 1, 7, 6, 8, 6]   | rLLLLLLzQLQQcbefiijmnlkpmmopoqqxxaarxqehraonkdvrr                      | hLAMzkbcbdefgghhjhhhxj                                                 
[0, 0, 1, 2, 2, 8, 5, 6, 7]   | rLLwPLvAzAQQccedhghimnloopnqqqptarannhnxklehtibsg                      | eLAkbcbddhhwqn                                                         
[0, 0, 1, 3, 2, 5, 7, 7, 6]   | pLLvMzMzMQQcdfgiilmnonnkmoohsagvsaahewfboit                            | cMcabbgaj                                                              
[0, 0, 2, 0, 0, 7, 8, 7, 7]   | rLLLLPvvQPQQcbefijiokmllpnqoqqpxxaaxfxhvocfrdndxg                      | eLAkbcbddhhjhk                                                         
[0, 0, 2, 0, 0, 8, 7, 8, 6]   | qLLLLPLwMQPkbefijiglknllonoppxxaaxrfphvogubmkr                         | dLQbcbchhjs                                                            
[0, 0, 2, 0, 1, 7, 6, 8, 7]   | oLLLMPvMAQcbefghihjmlllnnnxxalaxrhxkskhfj                              | jLAMzMPbcbdefghiihhjhhhhhhw                                            
[0, 0, 2, 0, 1, 7, 8, 6, 7]   | sLLLLPLvQPPQPbefijijmkmpmnoqpqrrxxaaxfxlhfejgsmtmhv                    | cMcabbjxr                                                              
[0, 0, 2, 0, 2, 7, 6, 5, 9]   | qLLLLLLwQPQkbefiijhlkmmnnpoopxxaarxshrwwbkhfor                         | gLAMPbcbdeffhhjhhqn                                                    
[0, 0, 2, 0, 2, 9, 5, 6, 7]   | mLLLwMMPQadegijikilklljaakxaadvaode                                    | fLAMcbcbdeehhwhxj                                                      
[0, 0, 2, 0, 3, 5, 8, 6, 7]   | rLLAvPAzzPMQcbecdhihjlnpoooqqpqxxofaxamamavccapfi                      | dLQbcbchhjw                                                            
[0, 0, 2, 0, 3, 8, 7, 5, 6]   | qLLvMPPLzPQkcdfhfihkmnnpomopphsakfsomhatxtbxbb                         | fvPQcceddeerrnskr                                                      
[0, 0, 2, 0, 4, 6, 7, 6, 6]   | rLLLLLLvAQQQcbefiijklkqmmnpopqqxxaafxxhfxrnvvvsam                      | hLLLQkbcgeffggtsmihgnk                                                 
[0, 0, 2, 1, 0, 6, 7, 7, 8]   | oLLLLMAAMPcbeghhjijkjlmnnnelqafxfxquqqqfo                              | gLAMPbcbdeffhhjhxqw                                                    
[0, 0, 2, 1, 0, 8, 7, 7, 6]   | rLLLLPvLQPPQcbefijilokmnnnqpqpqxxaaxrpxhvcbcadpxv                      | jLAMLLQbcbdeghiiixxjxxjqxoj                                            
[0, 0, 2, 1, 2, 9, 5, 5, 7]   | nLLLzMzQPkbcgffikiljmmlmtsmajaeaavaqci                                 | hLLAAkcdecefgghsmrqjqn                                                 
[0, 0, 2, 1, 4, 5, 7, 7, 5]   | tLLwPLMvPLMAQkcdehfgjikopnoprssrqsawaugvmdvmmdgsapqlbs                 | fLLQcacdeeejkaqnv                                                      
[0, 0, 2, 2, 3, 6, 7, 7, 4]   | qLLLvzAAAPQkcddjhhimmlloonpppukfhkvdtsbftudkgw                         | gLLAQbeddfffhhokxjo                                                    
[0, 0, 3, 0, 2, 5, 6, 7, 8]   | tLLLLPvwMQzQMkbefijihkpllopnqprrssxxaaxfbhxoccxoexxvlo                 | cMcabbjak                                                              
[0, 0, 3, 0, 4, 6, 7, 6, 5]   | qLLvLLPMzQQkcefgihijnlmoponpphpeknnngtkovhwjxd                         | hLLLQkbdeeggfgxnidpvwj                                                 
[0, 0, 3, 0, 4, 8, 5, 4, 7]   | oLLwvAAAMQccedhfkhilmlmnnnpajrfarchwjvmul                              | fLAMcbcbdeehxjxhw                                                      
[0, 0, 3, 1, 1, 5, 7, 6, 8]   | oLLvLMLPQQccdggjhnjnmmllnmlfggwragpxdofwk                              | eLAkbccddemken                                                         
[0, 0, 3, 1, 2, 7, 5, 5, 8]   | qLLvLPMPLQPkcdgfijlmkoknmpppohsgfvsaadamwnxmpf                         | fLAMcbccdeeemkihn                                                      
[0, 0, 3, 1, 2, 8, 5, 5, 7]   | tLLvLQMLwQzMPkacfighjkmknmopqrsrssbsvavaxhlvxrvdmaaote                 | gLAMPbcbdeffhxjxxqw                                                    
[0, 0, 3, 1, 2, 9, 5, 5, 6]   | pLLwPPvLPQQcdehfigkkmlononoawaurtvrcfviittg                            | gLLPQcdcfeffhsrhqos                                                    
[0, 0, 3, 1, 3, 3, 8, 6, 7]   | wLLwPLLzMMwzQPPkcdehfgijknmnoqstqtusvuvawaugvdgcifidjdpkdugsoc         | cMcabbjaj                                                              
[0, 0, 3, 1, 3, 8, 4, 5, 7]   | oLLLPLPMzQccbehfgijklmnmnnanqqgvamadaawff                              | gLLAQbcedfeftsqsqsw                                                    
[0, 0, 3, 1, 4, 9, 4, 4, 6]   | rLLALLwvzQQQcbedchhinmkpmpnoqqqxxrbxaaahfitljbnnw                      | fLAMcbcbdeehhwqxr                                                      
[0, 0, 3, 1, 4, 9, 4, 5, 5]   | mLALLLAPQcbbfgijhkklllqqnapwdsttnwn                                    | gLAMPbcbdeffhhjqxxn                                                    
[0, 0, 3, 1, 5, 8, 5, 5, 4]   | qLvAwMLLMMQkcdefhijjnlopmnoppuruqjatgjgtegrqmj                         | fLLQcaceeedjkuxkn                                                      
[0, 0, 3, 2, 1, 7, 6, 6, 6]   | rLLLLLLLQLQQcbefiimnklkqooppqoqxxaaralxhrabkxaefr                      | hLALPkbcbegfgghhjshqos                                                 
[0, 0, 3, 2, 3, 8, 4, 4, 7]   | rLLwvALPMzQQccedhjhinmnoqomqopqpajrarchejallniucv                      | iLLPPPcaceegfhghnkxkqnxwr                                              
[0, 0, 3, 2, 4, 8, 5, 4, 5]   | qLvLALwPwQQkbdhghjmmlkopnonppdnxhbhqgsbaqbmcpg                         | gLLPQaceedffjkxkjnn                                                    
[0, 0, 3, 3, 3, 4, 6, 5, 7]   | sLLvvvMQMLQQQcdnkkhiiopqomrnrrqqukuuukfftbbsbjwsgvc                    | dLQbcbchhww                                                            
