Weight Vector                  | Iso Sig                                                                | Simplified IsoSig                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 9, 7, 8, 9]    | pLLAzPvLAQQcedegginlkkommooatwtarxxdtvjbgbr                            | dLQbcbchhjs                                                            
[0, 0, 0, 0, 1, 7, 9, 8, 8]    | nLLLLPLMQkbefijijhjkllmmxxaaxfxfahrnwv                                 | bkaajj                                                                 
[0, 0, 0, 0, 1, 8, 9, 7, 8]    | qLLLLPvvQQQkbefijiokmmppnponoxxaaxfxhvcwvjssjs                         | gLAMPbcbdeffhhjhhqj                                                    
[0, 0, 0, 0, 1, 9, 8, 7, 8]    | qLLLLPvvQQQkbefijiokmmppnponoxxaaxrxhvcvjjssjs                         | iLAMzMcbcbdefghhhhjhhhhqn                                              
[0, 0, 0, 1, 0, 7, 8, 8, 9]    | oLAMzwLLAQccbbdefgklmjlnnnqqnqqqqaanbbxxm                              | eLAkbcbddhhjhk                                                         
[0, 0, 0, 1, 0, 8, 7, 8, 9]    | oLAMzwLLAQccbbdefgkljmlnnnqqnqqqqaacbnxxt                              | hLAMzkbcbdefgghhjhhhhs                                                 
[0, 0, 0, 1, 0, 9, 7, 7, 9]    | tLLLLMLvMAwQQkbefigijklnnpoqpsrqrsxxaavrehvvjefpxdfvcg                 | cMcabbjxr                                                              
[0, 0, 0, 1, 0, 9, 7, 8, 8]    | nLLLLPLMQkbefijijhjkllmmxxaaxrxfahonwv                                 | eLAkbcbddhhjhr                                                         
[0, 0, 0, 2, 0, 8, 7, 7, 9]    | vLLLLPvvzQLQQPQbefijikrllopnpsqtuuustxxaaxrhxonffofqstxvcgc            | fLAMcbcbdeehhjhhs                                                      
[0, 0, 1, 0, 2, 6, 9, 8, 7]    | sLLvzvQzQzPQQcdhjmjnoklkponoqrqrhshetaaapuovknopxgv                    | cMcabbjqs                                                              
[0, 0, 1, 0, 3, 6, 8, 7, 8]    | rLLLLLLvQQMQcbefiijklkpnmmqpopqxxaafxxhrvbrnasogc                      | bkaajn                                                                 
[0, 0, 1, 1, 0, 7, 8, 7, 9]    | pLLLLMAAMzQbeghhjijkjlmnoooelqafxfxquqqqqqa                            | hLAMzkbcbdefgghhjhhqxr                                                 
[0, 0, 1, 1, 0, 7, 9, 7, 8]    | oLLLLMLLQQcbefigijjklnnmmnxxaavfexhvkjggv                              | eLAkbccddemken                                                         
[0, 0, 1, 1, 0, 8, 7, 7, 9]    | pLLLLPAAMzQbeghhjijkjlmnoootmqajafaqiqqqqqa                            | kLAMzMzkbcbdefghijjhhjhhhhhxxr                                         
[0, 0, 1, 1, 0, 9, 7, 7, 8]    | oLLLLMLLQQcbefigijjklnnmmnxxaavrexhvvjggk                              | hLALPkbcbegfgghhjshqos                                                 
[0, 0, 1, 1, 1, 6, 8, 7, 9]    | rLLLLPLvQMPQcbefijijjknnoqmoqpqxxaaxfxahbccackeof                      | dLQbcbchxjn                                                            
[0, 0, 1, 1, 1, 6, 9, 7, 8]    | qLLLLzLzQPQkacffjinkmnkoppoopbcgnpdaggaoaxxahs                         | cMcabbgaj                                                              
[0, 0, 1, 1, 1, 7, 8, 9, 6]    | rLLLLPLvPQMQcbefijijkmoompqnppqxxaaxfxhfvrjvavooj                      | fLAMcbcbdeehhjhxn                                                      
[0, 0, 1, 1, 1, 9, 7, 8, 6]    | sLLvQvLPLPQPQcdehfmnklkqponrorrqhsphbaabboaeenxvskv                    | fLAMcbcbdeehhjhxj                                                      
[0, 0, 1, 1, 2, 9, 6, 7, 7]    | qLLMvMPLzQPkacdeghijmnmompoppbsacalvrxdcavaaho                         | gLLMQacdefefjkaknkr                                                    
[0, 0, 1, 1, 3, 8, 7, 7, 6]    | tLLLLPLvPQMMAkbefijijkmnnmopoqrrssxxaaxrxhffcjkfctaspv                 | gvLQQcdefeffnjndspx                                                    
[0, 0, 1, 1, 3, 9, 6, 6, 7]    | sLLwPLPLzALQQcedhfjhklkloqopqprrauwasarxwvbdakuevbg                    | eLAkbcbddhhwqn                                                         
[0, 0, 1, 2, 1, 7, 8, 6, 8]    | rLLLLPvvAQQQcbefijinkqoonppnqqpxxaaxflhxbcjccjxak                      | gLLAQbcedfeftsasxnr                                                    
[0, 0, 1, 2, 1, 8, 6, 6, 9]    | oLLLLPLzQQcbefijijmlklnnmnxxaaxrxpihwvjwr                              | iLALPPcbcbegfhhhhhjshqxip                                              
[0, 0, 1, 2, 2, 7, 8, 7, 6]    | uLLLLPvLPQPvQQcbefijinkmpnnoosrrstttxxaaxfqhvvkbwkxagrbjj              | fLAMcbcbdeehhjqxr                                                      
[0, 0, 1, 2, 2, 8, 7, 6, 7]    | vLLLLPvLzQMMPAQbefijinkpnnmoqrqttsutuxxaaxrqhvksgkxamiwvlvo            | hLAMzkbcbdefgghhjhhqqw                                                 
[0, 0, 2, 0, 1, 9, 6, 8, 7]    | rLLLLMvLAAQQcbefigijkonnpmqoopqxxaavrxhrbkevlsvvo                      | fLAMcbcbdeehhjqqw                                                      
[0, 0, 2, 0, 1, 9, 7, 8, 6]    | pLLLvAAMzQQadeghhjimlomonnobmmbaahkasqxqlkv                            | cMcabbjqw                                                              
[0, 0, 2, 0, 2, 6, 8, 6, 9]    | sLLvzMwzQMMPQcdhiijnomklmlorpqrrhshsvdaatnfkvoxvkfg                    | dLQbcbchxwn                                                            
[0, 0, 2, 0, 3, 7, 8, 6, 7]    | sLLLLPvvPQAQQbefijikmqllnqrppprrxxaaxfhvvrnvoawscxx                    | hLLAMkbeddfggghhokxhmu                                                 
[0, 0, 2, 0, 3, 8, 7, 5, 8]    | sLLLvMMAvPMQQcdgifklhiqnnroopqrrhshcoahfodahadckrgf                    | hLAMzkbcbdefgghhjhhhxj                                                 
