Weight Vector                  | Iso Sig                                                                     | Simplified IsoSig                                                           
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 2, 9, 8, 7, 8]    | rLLLLPvLAQQPcbefijilnkpoononqqqxxaaxrdlhxfcjfjxvc                           | hLAMzkbcbdefgghhjhhhxj                                                      
[0, 0, 0, 1, 1, 7, 9, 8, 8]    | nLLLLPLPQkbefijijlmmkmllxxaaxfxqllhfrn                                      | eLAkbccddemken                                                              
[0, 0, 0, 1, 1, 7, 9, 9, 7]    | rLLLLMLvAQQMcbefigijkonnpmompqqxxaavfehcvrlofbicf                           | bkaajj                                                                      
[0, 0, 0, 1, 1, 8, 9, 7, 8]    | rLLLLPLLMAQPcbefihiljknmmpnoqqqaxaucfxuucbbxbuxxa                           | fLAMcbcbdeehhjhxn                                                           
[0, 0, 0, 1, 1, 9, 7, 7, 9]    | rLLLLMLvAQQMcbefigijkonnpmompqqxxaavrehcvjlofbicf                           | eLAkbcbddhhjhr                                                              
[0, 0, 0, 1, 1, 9, 7, 8, 8]    | nLLLLPLPQkbefijijlmmkmllxxaaxrxqllhfon                                      | gLAMPbcbdeffhhjhxxk                                                         
[0, 0, 0, 1, 2, 9, 7, 7, 8]    | oLLLLPLLQQcbefijijlmkmnnmnxxaaxrxdlhffcjf                                   | eLAkbcbddhhjqn                                                              
[0, 0, 0, 2, 0, 8, 7, 8, 9]    | uLLLLPvPMALMQPcbefijilhkollnrsprrtttxxaaxrqbhxonoaxcvrxvc                   | gLAMPbcbdeffhhjhhhk                                                         
[0, 0, 0, 2, 1, 7, 9, 8, 7]    | oLLLLPLLQQcbefijijlmkmnnmnxxaaxfxdlhfbcjf                                   | cMcabbjqs                                                                   
[0, 0, 1, 0, 0, 7, 9, 9, 8]    | mLLLLPLQQbefijijjlhkllxxaaxfxapbhoc                                         | cMcabbjxr                                                                   
[0, 0, 1, 0, 0, 8, 9, 9, 7]    | qLLLLPvLQQMkbefijihkmmoononppxxaaxfbhvcbsjbjaj                              | fLAMcbcbdeehhjhhs                                                           
