Weight Vector                  | Iso Sig                                                                        | Simplified IsoSig                                                              
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 1, 8, 10, 9, 10]  | rLLLLPPvQALQcbefijihjklmmnppoqqxxaaxfgxhfkjgagfof                              | dLQbcbchxjn                                                                    
[0, 0, 0, 0, 2, 10, 9, 8, 9]   | sLLLLPvLAQQzQbefijilnkpoononqrrrxxaaxrdlhxfcjfjxxxa                            | iLAMzMcbcbdefghhhhjhhhhqn                                                      
[0, 0, 0, 1, 0, 8, 10, 10, 9]  | rLLLLPLwMAPQcbefijiglkollnoqppqxxaaxffqhxrnbxerco                              | bkaajj                                                                         
[0, 0, 0, 1, 0, 10, 8, 10, 9]  | rLLLLPPvQALQcbefijihjklmmnppoqqxxaaxrgxhfgjgagfof                              | gLAMPbcbdeffhhjhhqn                                                            
[0, 0, 0, 1, 1, 8, 10, 9, 9]   | rLLLLPLvPQQPcbefijijkmnnonppoqqxxaaxfxhfbcgffffqf                              | cMcabbjqw                                                                      
[0, 0, 0, 1, 1, 8, 10, 10, 8]  | nLLLLPPLQkbefijihjlklmmmxxaaxfgxlhfvrr                                         | eLAkbcbddhxjqs                                                                 
[0, 0, 0, 1, 1, 9, 10, 8, 9]   | sLLLLPLLMAQzQbefihiljknmmpnoqrrraxaucfxuucbbxbuxxvc                            | gLAMPbcbdeffhhjhhqj                                                            
[0, 0, 0, 1, 1, 10, 8, 8, 10]  | nLLLLPPLQkbefijihjlklmmmxxaaxrgxlhfvjr                                         | iLAwLQccbbdfhghhhhkhjhqjf                                                      
[0, 0, 0, 1, 1, 10, 8, 9, 9]   | rLLLLPLvPQQPcbefijijkmnnonppoqqxxaaxrxhffcgffffqf                              | cMcabbjxr                                                                      
[0, 0, 0, 2, 0, 9, 8, 9, 10]   | vLLLLPvPMALMQzQbefijilhkollnrsprrtuuuxxaaxrqbhxonoaxcvrxxxa                    | hLAMzkbcbdefgghhjhhhhs                                                         
[0, 0, 1, 0, 0, 8, 10, 9, 10]  | mLLLLMAAQbeghhjijkjlllelqafxfxquqfo                                            | eLAkbcbddhxjqw                                                                 
[0, 0, 1, 0, 0, 9, 10, 10, 8]  | rLLLLPvLMQMQcbefijihkpoononppqqxxaaxfbhxbsjbjxaaj                              | gLAMPbcbdeffhhjhhhk                                                            
[0, 0, 1, 0, 1, 7, 10, 9, 10]  | oLLLLMLPAQcbefigijljkmnnnmxxaavfemxhweddv                                      | cMcabbgqw                                                                      
[0, 0, 1, 0, 1, 11, 8, 8, 9]   | sLLvPMvMzMQPQcdhgiimnjlpponrrrqqhshgsvaaofatcnxqebg                            | fLAMcbcbdeehhjqqs                                                              
[0, 0, 1, 0, 2, 10, 9, 8, 8]   | wLLLLPvvzQwLQQQkbefijikrnnmspuqvurrvutvxxaaxrhxksgusesiexargog                 | iLLLMQccdefhgghhhsdafjwsf                                                      
[0, 0, 1, 0, 2, 11, 8, 8, 8]   | pLLvAPLPAAQcdehiflmkjknmooohsphpwaagvfenxsk                                    | eLAkbcbddhhjqn                                                                 
[0, 0, 1, 1, 0, 10, 8, 9, 9]   | oLLLLPLPQPcbefijijllmkmnnnxxaaxrxlmlhfdad                                      | jLAwLAQcbbdfhgiiihhkhjhqxet                                                    
[0, 0, 1, 1, 1, 8, 10, 10, 7]  | vLLvAwLzwzPAQQQcdfhfmnjoostnuqqprrsuuhsahsaasuaddoxsvcofonj                    | cMcabbjqs                                                                      
[0, 0, 1, 1, 1, 9, 10, 8, 8]   | yLLLLPvvAMMQvPQPQbefijinkqrnonqqtsvvvwwuxxxxaaxflhxmjgjxaibvvwnnfqv            | hLAMzkbcbdefgghhjhhqxr                                                         
[0, 0, 1, 1, 1, 10, 9, 8, 8]   | uLLLLPvPAMLQLQcbefijinlmkopoorqsrtttxxaaxraxxhxdxaaxabtvb                      | jLAMzMPbcbdefghiihhjhhhhqqw                                                    
[0, 0, 1, 1, 2, 9, 8, 7, 10]   | vLLLLPvLAQPzPMQbefijinlkpnnoqotrsusuuxxaaxrqihxksgavxovxcvc                    | lLAMzwLQccbbdefgikjkkhhkhhhhnhxnv                                              
[0, 0, 1, 1, 2, 10, 8, 7, 9]   | qLLLPLzPzPQkccfegjilklnonnppplnainpuajgiuitaww                                 | iLAwMMcbcbdfgghhhhjhrmhwn                                                      
[0, 0, 1, 1, 3, 8, 9, 9, 7]    | uLLLLPvvPQAQPMcbefijikmmppnonqprssttxxaaxfhvcvrjwjfctivxv                      | iLAwLQccbbdfgghhhhkhjlqsw                                                      
[0, 0, 1, 2, 0, 8, 9, 9, 9]    | qLLLLMAAMzMkbeghhjijkjlmnopppelqafxfxquqqqqqfo                                 | iLAMzMcbcbdefghhhhjhhhxqw                                                      
[0, 0, 1, 2, 1, 8, 10, 9, 7]   | qLLvAwMPPMPkcdfhfilmjnknmpopphsahsaaasmseoxbnj                                 | fLLQcacddeejkaikr                                                              
[0, 0, 1, 3, 1, 9, 7, 7, 10]   | rLLLLLLvQPQQcbefiijklkqmmnoqpqpxxaarxxhraonkcdclv                              | hLALPkbcbegfgghhjshqos                                                         
[0, 0, 2, 0, 0, 10, 9, 9, 8]   | tLLLLLvAQPQzMkaefhhklomknnmmpqrsssbxiaapsxfrkkooexxxxa                         | fLAMcbcbdeehhjhhs                                                              
[0, 0, 2, 0, 3, 11, 7, 7, 8]   | nLLPLLMzQkcecfhjjklmjmlmhanhwhhapagmrh                                         | gLAMPbcbdeffhxjqqxr                                                            
[0, 0, 2, 1, 0, 9, 8, 9, 9]    | qLLLLPAAMzMkbeghhjijkjlmnoppptmqajafaqiqqqqqfo                                 | lLAMzMzMcbcbdefghijkkhhjhhhhhhqqw                                              
[0, 0, 2, 1, 1, 8, 9, 7, 10]   | sLLLLPvvAQQMQbefijinkqppnoonrprrxxaaxflhxkjjggjxvvc                            | iLAMLPcbcbdeghhhhhjhhwtth                                                      
[0, 0, 2, 1, 1, 9, 8, 10, 7]   | tLLLLPvvPMAQQkbefijikmmrnonsrrpqssxxaaxrhvcdjnjatlgrie                         | kLAMzLPkbcbdefhjijjhhjhhhkhxck                                                 
[0, 0, 2, 1, 1, 10, 7, 9, 8]   | pLLvALAMwQQcdehkjilmkonmoonhsphpxaaabtanldg                                    | gLAMPbcbdeffhhjqqqj                                                            
[0, 0, 2, 1, 2, 6, 9, 8, 10]   | rLLvPMMzzwQQccdheighklnnmoopqqqhshvsvothaaraxrgrr                              | dLQbcbchhww                                                                    
[0, 0, 2, 1, 2, 7, 10, 9, 7]   | qLLwPLMvPAQkcdehfgjikolmnopppawaugvmdvmwtggkcn                                 | dLQbcbchxwn                                                                    
[0, 0, 2, 1, 2, 8, 7, 8, 10]   | sLLLLPvwMQQzQbefijihkpnnmlonqrrrxxaaxrshxbkgbvcxxxa                            | kLAMzMzkbcbdefghijjhhjhhhhhhhr                                                 
[0, 0, 2, 1, 2, 8, 9, 6, 10]   | sLLLwAzvMQAMQcdgffikjpnnomnqrrqrhshashhfaggtfveaabt                            | gLLAQbcedfeftsasxnr                                                            
[0, 0, 2, 1, 2, 8, 9, 10, 6]   | sLLLwAzzMPMPQcdgffikkjopmnqrrqprhshashhlfaabllaabvt                            | eLAkbcbddhhjqj                                                                 
[0, 0, 2, 1, 2, 11, 7, 7, 8]   | pLLwLLPMAMQbeeehihjmklnonoohhaanfnaegkaaxlr                                    | hLLAAkcdecefggqsmjqjqn                                                         
[0, 0, 2, 1, 3, 8, 7, 7, 10]   | tLLLLPvMAALMQkbefijihlkmnnoprrqqssxxaaxrsihvbkduvgvfdj                         | dLQbcbchhjs                                                                    
[0, 0, 2, 1, 3, 8, 9, 7, 8]    | uLLLLPvvzQPAQQcbefijikrpponqrtsstsrtxxaaxfhxvrwvoxaudxdxx                      | gLAMPbcbdeffhhjhxqw                                                            
[0, 0, 2, 1, 3, 8, 9, 9, 6]    | sLLLALzzAPPPQcdgfeijmnkoppnrqprrhshattqaejqgbjpljcc                            | iLLLPQcbcgffghhhtsmhgosof                                                      
[0, 0, 2, 1, 4, 7, 8, 7, 9]    | tLLLLMLLPMPzQkcdghfhlkkjnppqrspsrshshjcvhlkcjhuamaawor                         | fLAMcbccdeeemkehj                                                              
[0, 0, 2, 1, 4, 9, 8, 7, 7]    | wLLLLPvvPQvAPQQkbefijikqqnnsopqussuvtvvxxaaxrhcvksefssipsvggcn                 | fvPQcdecedekrsnrs                                                              
[0, 0, 2, 1, 4, 10, 7, 6, 8]   | rLLvzAzMzQAQccdhifjmnlkolonqpqqhshsfaaaifswsnxxwj                              | gLLAQbcedfeftsqsqww                                                            
[0, 0, 2, 2, 1, 9, 7, 8, 9]    | sLLLLLLzQLQQPbefiimnklkpoopqqorrxxaarapxhrtvjxderag                            | hLAMzkbcbdefgghhjhxxxn                                                         
[0, 0, 2, 2, 2, 9, 7, 9, 7]    | rLLvQvLPMPAQccdehfmnkjklopnqqqphsphbaabfkveanxskg                              | gLAMPbcbdeffhhwhhqn                                                            
[0, 0, 2, 3, 2, 7, 8, 7, 9]    | sLLLLPvvzQQQQbefijikrnnmnpoppqrrxxaaxfhxkbgkvffssxa                            | hLALAkcbbeffggqqnnmxnr                                                         
[0, 0, 2, 3, 2, 7, 8, 9, 7]    | uLLLLPvLPPAMPQcbefijilkmnnonqrtstrtsxxaaxfphvkbwkdqxlvvwf                      | fLAMcbcbdeehhjhxn                                                              
[0, 0, 2, 3, 2, 8, 7, 6, 10]   | sLLLLPvvzQQQQbefijikrllnponppqrrxxaaxrhxonkjffbssxa                            | jLAMLLQbcbdeghiiixxjxxjqxoj                                                    
