Weight Vector                  | Iso Sig                                                                           | Simplified IsoSig                                                                 
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 9, 11, 10, 9]  | sLLLLPLvQPAPQbefijijmkmpmpnoqqrrxxaaxfxlhfmjaggibof                               | cMcabbjxr                                                                         
[0, 0, 0, 0, 0, 11, 9, 9, 10]  | sLLLLPLzQzQzQbefijijlmkmoopnqqrrxxaaxrxllhfiaugnslg                               | fLAMcbcbdeehhjhhw                                                                 
[0, 0, 0, 0, 1, 11, 9, 9, 9]   | rLLLLPLzAwQQcbefijijmjkomnqpppqxxaaxrxaahdvcxxggg                                 | fLAMcbcbdeehhjhxj                                                                 
[0, 0, 0, 0, 2, 9, 10, 9, 9]   | sLLLLPvPzQQzQbefijimnkpllnnoqrrrxxaaxfeehxrnvrvxxxa                               | iLAMzMcbcbdefghhhhjhhhhqj                                                         
[0, 0, 0, 1, 0, 9, 11, 9, 9]   | qLLLLPLzQzQkbefijijlmkmonpnppxxaaxfxllhfmsuvjj                                    | dLQbcbchxjn                                                                       
[0, 0, 0, 1, 1, 10, 8, 9, 10]  | oLLLLPvPQQcbefijilnmkmmllnxxaaxrqqxhvconc                                         | gLAMPbcbdeffhhjhhqn                                                               
[0, 0, 0, 1, 1, 10, 9, 8, 10]  | sLLLLPvAMQPzQbefihimjknllnpoqrrrxxaucfxtucwwjxtxxvc                               | mLLAMzMzQccedfghijklllhwxrxxxxxxxvc                                               
[0, 0, 0, 2, 1, 8, 10, 10, 8]  | sLLLLLMLMQzMQcdghfklkmjknopqrqrrhshkoahamgbkgmaasnj                               | cMcabbjqw                                                                         
[0, 0, 1, 0, 2, 9, 10, 9, 8]   | wLLLLPvvzQvMQQQkbefijikrllnspuqturrutvvxxaaxfhxrnfusesiexaggfb                    | jLLAMzQbeddfghiiihhokxhxhmu                                                       
[0, 0, 1, 0, 2, 11, 8, 8, 9]   | nLLLLMvQQkbefigiljjkmllmxxaavrqxxhconr                                            | gLAMPbcbdeffhhjqqhr                                                               
[0, 0, 1, 1, 0, 8, 10, 10, 9]  | nLLLLPPLQkbefijihjlklmmmxxaaxfgxlhfgoo                                            | eLAkbcbddhxjqw                                                                    
[0, 0, 1, 1, 0, 9, 10, 10, 8]  | rLLLLPvLAQMQcbefijiolkpoonnppqqxxaaxfuuhxocjjxaaj                                 | jLAMzLQbcbdefhiiixxjxxxkeex                                                       
[0, 0, 1, 1, 0, 10, 8, 10, 9]  | nLLLLPPLQkbefijihjlklmmmxxaaxrgxlhfgjj                                            | hLAMzkbcbdefgghhjhhqqw                                                            
[0, 0, 1, 1, 0, 10, 9, 10, 8]  | rLLLLPvLAQMQcbefijiolkpoonnppqqxxaaxrluhxfcjjxaaj                                 | mLAMzMLLQbcbdefghjklllxxjxxxxxrhxgr                                               
[0, 0, 1, 1, 1, 7, 10, 10, 9]  | pLLLLMvMAQQbefigimlklmnnonoxxaavftuhscvrlro                                       | cMcabbgqw                                                                         
[0, 0, 1, 1, 1, 11, 8, 8, 9]   | pLLLAvPzQAQbdfgehimllknnooodwdplujaookqqjoj                                       | hLALAkbcbeffggxxjnmxkj                                                            
[0, 0, 1, 1, 2, 8, 9, 8, 10]   | vLLLLPvLzQPPAAQbefijinkqnnpmorpstruuuxxaaxfqhxkbvvjtfaxvxvc                       | iLAwLQccbbdfgghhhhkhjlqjk                                                         
[0, 0, 1, 1, 2, 8, 10, 8, 9]   | rLLLLMLLwQMQcbefigijjkpopmnoqqqxxaavfexheldgcpuvb                                 | fLLQcacddeejkaikr                                                                 
[0, 0, 1, 1, 2, 8, 10, 10, 7]  | pLLvAALPAAQcdfhfilmkjknmooohsahshaagjcdoxnj                                       | gLLAQbeddfffhhokxjo                                                               
[0, 0, 1, 1, 3, 10, 8, 7, 9]   | sLLLLPLvPQAQPbefijijkpnnpnopqqrrxxaaxrxhvfccfcvxxwb                               | fLAMcbcbdeehhjqqw                                                                 
[0, 0, 1, 1, 4, 7, 9, 9, 8]    | pLLLLLLLQQQbefiijnklkmmnnooxxaafxqxhrcckbsb                                       | cMcabbgaj                                                                         
[0, 0, 1, 2, 0, 9, 8, 9, 10]   | qLLLLPAAMzMkbeghhjijkjlmnoppptmqajafaqiqqqqqfo                                    | lLAMzMzMcbcbdefghijkkhhjhhhhhhqqw                                                 
[0, 0, 1, 2, 1, 9, 8, 10, 8]   | tLLLLPvPzQAMMkbefijimnkpnnlmpqrrssxxaaxrlqhxkscsxxggxw                            | jLAMzMPbcbdefghiihhjhhhhhxj                                                       
[0, 0, 1, 2, 2, 7, 10, 9, 8]   | rLLwPLLwALQQccdehfjhimknpoqqpqpawatgxkticemrookgc                                 | dLQbcbchxwn                                                                       
[0, 0, 1, 3, 2, 7, 9, 9, 8]    | qLLLLLLLQPQkbefiijnmlkmpnnppoxxaafxquhrsakbmpb                                    | bkaajj                                                                            
[0, 0, 2, 0, 0, 9, 10, 9, 9]   | tLLLLPvvAQAPQkbefijiokqllpnossprrsxxaaxfxhxocfrnapgvcr                            | gLAMPbcbdeffhhjhhhk                                                               
[0, 0, 2, 0, 0, 10, 9, 10, 8]  | sLLLLPLwMAzQQbefijiglkollnprrqrqxxaaxrfphxogbxvcrbr                               | fLAMcbcbdeehhjhhs                                                                 
[0, 0, 2, 0, 1, 8, 10, 10, 8]  | sLLLLMLvMPQAQbefigijklqnpmnqpprrxxaavfehvmbevcpxeko                               | dLQbcbchhjw                                                                       
[0, 0, 2, 0, 1, 9, 8, 10, 9]   | qLLLMPvMAAMkbefghihjmlllnopppxxalaxrhxkskhxhjf                                    | lLAMzMzMcbcbdefghijkkhhjhhhhhhhhw                                                 
[0, 0, 2, 0, 1, 9, 10, 8, 9]   | uLLLLPvvAMMQQMcbefijinkqrnonqqpsrsttxxaaxflhxejgjxasmtmhv                         | eLAkbcbddhhjhk                                                                    
[0, 0, 2, 0, 2, 9, 8, 7, 11]   | sLLLLPvwMQLQQbefijihkpnnmpqooqrrxxaaxrshxbkgxxfowwr                               | iLAMzMcbcbdefghhhhjhhhhqn                                                         
[0, 0, 2, 0, 3, 6, 10, 9, 9]   | qLLwPLLzPAQkcdehfjhjknonmooppawatgxkgctttflukf                                    | fLAMcbccdeeemkiqj                                                                 
[0, 0, 2, 0, 3, 8, 9, 7, 10]   | zLLLLPvLzQLvAPQQAkbefijimkqllnupsstruwuvxxyyxxaaxfihxrnfpfvcvcjkocwkhv            | eLAkbcbddhhjqj                                                                    
[0, 0, 2, 0, 3, 10, 9, 7, 8]   | ALLLLPvvzQwMQQzPPPcbefijikrnnmoupqusrrtvxxyzyzxxaaxrhxksgfessiuxabxvgltgo         | gvLQQcdefeffnjndspx                                                               
[0, 0, 2, 0, 4, 8, 9, 8, 8]    | tLLLLPvvzQMQQkbefijikrppnoqrsosprsxxaaxfhxvrjcoxpcpcxe                            | iLLLPQcbcgffghhhtsmhgosof                                                         
[0, 0, 2, 1, 0, 8, 9, 9, 10]   | qLLLLMAAMzMkbeghhjijkjlmnopppelqafxfxquqqqqqfo                                    | iLAMzMcbcbdefghhhhjhhhxqw                                                         
[0, 0, 2, 1, 0, 10, 9, 9, 8]   | tLLLLPvLAQPLQkbefijilokpnnnqqsrrssxxaaxrpxhxcbcappvcrr                            | lLAMzwLQccbbdefgikjkkhhkhhhhnhxnv                                                 
[0, 0, 2, 1, 1, 7, 10, 9, 9]   | oLLLLQvMPQcbefighiljnmmlnnxxaavcfahercsht                                         | eLAkbcbddhhwqj                                                                    
[0, 0, 2, 1, 1, 8, 9, 10, 8]   | uLLLLPvvzMAQQQcbefijikrsnpnrrtoqssttxxaaxfhxmjbjxaaofpaha                         | jLAMLLQbcbdeghhiixxjxxjqijw                                                       
[0, 0, 2, 1, 2, 8, 10, 8, 8]   | tLLLLMLLAMPPAkbefigijjklomqpqrprssxxaavfexhvmgmuironpg                            | bkaajn                                                                            
[0, 0, 2, 1, 2, 10, 7, 7, 10]  | rLLvAvzMQAQPccdehmnolkkjlmpoqqqhsphhaanbnofcinxsw                                 | gLAMPbcbdeffhhjqqqj                                                               
[0, 0, 2, 1, 2, 11, 7, 7, 9]   | uLLvPMwLAzAQzQccdhgifjilnmmorpqststthshgsglbgfnnaegkaaxlr                         | eLAkbcbddhhwqn                                                                    
[0, 0, 2, 1, 2, 11, 7, 8, 8]   | qLLALwLMMzQkbedcfgkimmnopmpopxxrbcgrvxmalacxsl                                    | fLAMcbcbdeehxjxhw                                                                 
[0, 0, 2, 1, 4, 7, 9, 9, 7]    | uLLvAwLPPwMPPQccdfhfmnlkkopnspqtrssthsahsaagjjhxoxrjmfrkg                         | gLLAQacdefffjkaqqul                                                               
[0, 0, 2, 2, 2, 6, 9, 9, 9]    | sLLLLLLLAzQQQbefiijmklqnnonrrpqrxxaafxpxhakbwkxxcvr                               | dLQbcbchhww                                                                       
[0, 0, 2, 2, 2, 7, 10, 9, 7]   | vLLwPLMvPAwPMAQcdehfgjikolmnqpsrtstuuawaugvmdvmwtginmgwnsqc                       | fLLQcaceeedjkuxkj                                                                 
[0, 0, 2, 2, 3, 8, 7, 7, 10]   | wLLLLPvvzQQMPPAkbefijikrllnpmosstutuuvvxxaaxrhxonkcbciixxxvcic                    | dLQbcbchhjs                                                                       
[0, 0, 2, 2, 3, 8, 9, 9, 6]    | sLLMvPwAzMPPQacdehgjilkopoqorqrrnkanamvktmhpeamanfj                               | iLLAMPcbeddfghhhhhokxhxoj                                                         
[0, 0, 3, 0, 2, 7, 10, 9, 8]   | pLLvMMLzAQQacgehjimlmllnooonkrghampruvctcjj                                       | cMcabbjqs                                                                         
[0, 0, 3, 0, 2, 9, 8, 7, 10]   | tLLLLPvwMQLMQkbefijihkpnnmpqrrsqrsxxaaxrshxbkgxxqhxwwo                            | hLAMzkbcbdefgghhjhhhxj                                                            
[0, 0, 3, 0, 2, 10, 8, 7, 9]   | uLLvALvAQPwAMQcaeghgmnjjkplmqpstrtstbtvvvaxvvragbxnxevlan                         | gLAMPbcbdeffhhwhhqn                                                               
[0, 0, 3, 0, 4, 10, 7, 6, 9]   | qLLLLLLPPQMkbefiijjmlkomnnpopxxaarxmahfcsksajc                                    | gLAMPbcbdeffhxjxxqw                                                               
[0, 0, 3, 1, 1, 7, 9, 8, 10]   | pLLLLLLLQQQbefiijnklkoommnoxxaafxuxhrggoccj                                       | fLAMcbccdeeemkehj                                                                 
[0, 0, 3, 1, 2, 9, 7, 7, 10]   | rLLLLLLwQMQMcbefiijhlkmonnpopqqxxaarxshrwcbkpnecf                                 | gLLPQcdcfeffhsnhqos                                                               
[0, 0, 3, 1, 2, 10, 7, 7, 9]   | pLLvzAAMAAQcdhifjjlmkknmooohshsnhaaamaunxcg                                       | jLLAMzQcdeceghhiihsmnqptcqk                                                       
[0, 0, 3, 1, 3, 6, 10, 9, 7]   | sLLLLAvLQAMPQbdgfihnjnommmqrprqrtvmgjveujvwwsatpobj                               | eLAkbcbddhhjhr                                                                    
[0, 0, 3, 1, 4, 10, 8, 6, 7]   | ALLwvwvMPAQzwQAMPPccedimjjpkpqrmntqstuuwvyxyzztarjmeedjnkabfhvtwromgkobpf         | dLQbccchhrw                                                                       
[0, 0, 3, 1, 4, 11, 6, 7, 7]   | oLLwPLPwMQccdehfgjiklmnmnnawaurvidatqtgvn                                         | iLvPAQcafegeghghjqxgrbxbj                                                         
[0, 0, 3, 1, 5, 10, 7, 7, 6]   | tLLvLLMAPMwQMkcdgjhmhljomplorqrssshsgwreniwaspocaestta                            | gLALQbcbefffxxnnmxm                                                               
[0, 0, 3, 2, 1, 9, 8, 8, 8]    | tLLLLPLLzQzAQkbefijilmkpnnqnprssrsxxaaxralhxbkxfxlgwck                            | jLAMzLQbcbdefhiiixxjxxxkiix                                                       
[0, 0, 3, 2, 2, 8, 9, 8, 7]    | yLLLLMLvMzwPAQzQQbefigijklqpqtrpuvruwtvwxxxxaavfehvmepapxigbjxvftrg               | fLLQcacddeejkaikk                                                                 
[0, 0, 3, 2, 3, 6, 9, 7, 9]    | tLLLPwvAMMzQPkccfeghilkolmqrqrsqssqfaqfkmwwpgrxaoadvds                            | eLAkbcbddhhwhr                                                                    
[0, 0, 3, 2, 3, 9, 8, 6, 8]    | wLLLLPLzMwAMLAQkcdggfhlmlnoqnrqustvttvvhsagfvahhjmashwqnhhppnv                    | jLAMLLQbcbdeghiiixxjxxjqxoj                                                       
[0, 0, 3, 2, 3, 10, 6, 6, 9]   | qLLLLAwALMQkbedghijlinnpppoooxxwvcrtxoaaaxieer                                    | iLALAMccbbeffghhqhknmxkxr                                                         
[0, 0, 3, 2, 4, 9, 8, 7, 6]    | zLLAvvvAQQzAzPLMQkbecdkipojknmnrpsuutxwyxxyyhhvkbohbfojrjmevalsxoccvbb            | eLPkbcdddhrrnk                                                                    
[0, 0, 4, 0, 2, 7, 8, 9, 9]    | rLLLLPvwAQAQcbefijihkmllonppqqqxxaaxfbhvoccvdamus                                 | iLALAMccbbeffghhqqnnmxkxk                                                         
[0, 0, 4, 0, 3, 8, 7, 9, 8]    | sLLLLPvMwQzQQbefijihlknnpnrprqqrxxaaxrsihbkmvxjvnnw                               | mLAMzwLQPcbbdefgijjkllhhkhhhhntxkhw                                               
[0, 0, 4, 0, 5, 9, 8, 6, 7]    | vLLvMvMPPPLLMQQcdfgiknljokmpqpusutttuhsagslemavcvdphhrdoora                       | kLLLzPQkcdgehigjjijqcqqvlnmpqn                                                    
[0, 0, 4, 0, 6, 7, 8, 7, 7]    | sLLvPzQvvMQQQcdigfikhlomprrqqpqrawugffdvgxrhlihannb                               | jLLLLQQccfighghiilnabnscnbw                                                       
[0, 0, 4, 1, 2, 9, 7, 7, 9]    | rLLLLLLwAQQMcbefiijhlkomnnpnpqqxxaarxshrcfbkabtrv                                 | iLALAMccbbeffghhqqnnmxkqj                                                         
[0, 0, 4, 1, 3, 11, 6, 7, 7]   | sLLwPLPvwQPMQcdehfgjimolpnoprqrrawaurvidttftgvftsxd                               | lLvPLwQQcafeeihjijkkkjqxoaadmgogb                                                 
[0, 0, 4, 1, 4, 5, 8, 7, 10]   | tLLvPLMMzMPMPkcdgfjglhlmnponqrrssspspcmcafpscaxfdaaltr                            | fLLQcacddeejkainj                                                                 
[0, 0, 4, 1, 4, 7, 9, 7, 7]    | vLLLwPzvQAMvAQQcedfjghnokmomqtquusuttuqfaasfmqsvxsaesljrjnn                       | hLLAMkbdedfgggdwqsuqxh                                                            
[0, 0, 4, 1, 4, 11, 7, 6, 6]   | qLLvPvzQwQQkcdigjknnmopnmmopphsegilauugwkjgcvs                                    | kLLLLAQkcdgfhhgijjjhshcrccrddu                                                    
[0, 0, 4, 1, 5, 11, 6, 5, 7]   | rLLvPQvLPPPQccdhgiffnmlnpponqqqhshgsfotnnkldejoow                                 | kLLvLQQkacghfhjjiijjkjdkaudifw                                                    
[0, 0, 4, 2, 4, 7, 6, 7, 9]    | sLLLLLvMQLAQQbefiihmlknpoorpoqrrxxaarsihrvabkqpcrwg                               | kLLAMzMkbdedfghijjjdwqsuqqqqsj                                                    
[0, 0, 4, 2, 4, 9, 8, 7, 5]    | sLLvLzzPAzQQQcdjkjhinolrmrqqoprqtkkxkjfhukijikkcbhs                               | lLLvQzPQcbeghfijkijkkxxiaxxahphrv                                                 
[0, 0, 4, 2, 4, 10, 5, 6, 8]   | rLLvMMwPMMzQccdfgfihjlknmopqqpqhsagssoqubhomaauna                                 | iLLPPPcaceegfhghnkxkqnxwr                                                         
[0, 0, 4, 2, 4, 11, 5, 6, 7]   | uLLLvMMwMMzQPPccdghfilhlkmnqorpssttthshsgshbgvjgmhbvaqmmc                         | fLAMcbcbdeehhwqxr                                                                 
[0, 0, 4, 2, 5, 7, 8, 8, 5]    | zLLvvvzPAzAPQQQLMkcdjhipqqlssorouvrrqutwxxyytkkjfhuljssfoghprsclotmbhb            | iLLLPQccddgfhhghpkrrknnso                                                         
[0, 0, 4, 2, 5, 11, 5, 5, 7]   | rLLvvPAPPAMQcbellklnijmonmqpppqhhhabhmkkppupswffb                                 | iLAwMMcbcbdfgghhhhjqjiqsk                                                         
[0, 0, 5, 0, 4, 6, 7, 8, 9]    | vLLLLLPLAPwzQAQbefiihjmlkonnpsqrtstuuxxaafgxlhrakjrjjcdcmfo                       | gLLPQcdcfeffhsrhqos                                                               
[0, 0, 5, 0, 4, 8, 7, 6, 9]    | xLLLvMvzPPMzQPAQcadgikiqjrqnnrottruvtwwvwbxmtxjacamooxsmmsfurxuuw                 | eLAkbcbddhhjqn                                                                    
[0, 0, 5, 0, 4, 9, 6, 7, 8]    | uLLvLvvMMQQwQQccdgpqkrknollonstqrrsthsgaadpxtltbfgmancvvo                         | hLALAkcbbeffggqqnnmxkj                                                            
[0, 0, 5, 1, 2, 9, 7, 7, 8]    | sLLvMvLPPPAQQcdfgnokmkmqpmpoqqrrhsagaaullgifgfnitdg                               | fLAMcbccdeeemkihn                                                                 
[0, 0, 5, 1, 3, 10, 6, 7, 7]   | rLLPvwQzMvQQcbcefgjiklknqnqoppqarianqldpsqfgfoccs                                 | iLLALQcbddcfgghhdwjjctuss                                                         
[0, 0, 5, 1, 4, 4, 9, 9, 7]    | rLLLwwMzMPAQccdggfhlmjnmolpoqqqqkmmkkmwvpkabxwixi                                 | eLAkbccddemken                                                                    
[0, 0, 5, 1, 4, 8, 6, 6, 9]    | qLLvMzQwMMPkcdfggikkjlnmoppophsagcsddlhpsaargo                                    | jLALLAQbcbefhgihihhjsqjjhjr                                                       
