Weight Vector                  | Iso Sig                                                                             | Simplified IsoSig                                                                   
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 9, 11, 10, 10] | oLLAwMvQMPccedcfhilkjjmnnnlajvahjxqqgxxvc                                           | bkaajj                                                                              
[0, 0, 0, 0, 0, 11, 9, 10, 10] | oLLAwMvQMPccedcfhilkjjmnnntarvahjxqqgxxvc                                           | eLAkbcbddhhjhk                                                                      
[0, 0, 0, 0, 1, 9, 11, 10, 9]  | oLLLLPLzQQcbefijijlmkmnnmnxxaaxfxllhfvrjs                                           | eLAkbcbddhhjqj                                                                      
[0, 0, 0, 0, 1, 11, 9, 9, 10]  | qLLLLPLzQzQkbefijijlmkmoopnppxxaaxrxllhfiaugij                                      | hLAMzkbcbdefgghhjhhqqs                                                              
[0, 0, 0, 1, 0, 9, 10, 9, 11]  | rLLAzMMzMzMPccedegfhijklmnopqqqpajaavhuxhxhxhxhfj                                   | gLAMPbcbdeffhhjhhhk                                                                 
[0, 0, 0, 1, 0, 9, 11, 10, 9]  | qLLLLPLzQzQkbefijijlmkmoopnppxxaaxfxllhfmaugij                                      | fLLQcacddeejkaikk                                                                   
[0, 0, 0, 1, 0, 10, 9, 9, 11]  | rLLAzMMzMzMPccedegfhijklmnopqqqpajaavqmxhxhxhxhfj                                   | iLAMzMcbcbdefghhhhjhhhhhk                                                           
[0, 0, 0, 1, 0, 11, 9, 9, 10]  | oLLLLPLzQQcbefijijlmkmnnmnxxaaxrxllhfvjjs                                           | gLAMPbcbdeffhhjhhqn                                                                 
[0, 0, 0, 1, 2, 9, 10, 9, 9]   | tLLLLPvPzQAAMkbefijilnkpnnmooqrsssxxaaxfqqhxkbggwaxxvc                              | hLAMzkbcbdefgghhjhhhxn                                                              
[0, 0, 0, 1, 2, 10, 9, 8, 10]  | tLLLLPvPzQAAMkbefijilnkpnnmooqrsssxxaaxrqqhxksggwaxxvc                              | jLAMzMPbcbdefghiihhjhhhhhxj                                                         
[0, 0, 1, 0, 0, 9, 11, 9, 10]  | pLLLLPLzQQPbefijijlmkmnnmooxxaaxfxllhfkjjqv                                         | cMcabbjxr                                                                           
[0, 0, 1, 0, 1, 8, 11, 9, 10]  | tLLLLMLLAMAMPkbefigijjknoomoqqrsrsxxaavfexhrmaghtkkdvf                              | cMcabbgqw                                                                           
[0, 0, 1, 0, 1, 10, 9, 8, 11]  | sLLLLPvLzQMQQbefijilkqoonnqqrpprxxaaxrahxbkjjxaafoj                                 | kLAMzMzkbcbdefghijjhhjhhhhhhqn                                                      
[0, 0, 1, 0, 3, 8, 10, 9, 9]   | sLLLLPLvPQPMQbefijijkpoopqnpqrqrxxaaxfxhvvrcxvvxupf                                 | gLLAQbcedfeftsqsxwr                                                                 
[0, 0, 1, 1, 1, 10, 8, 8, 11]  | sLLLLPvvQQAMQbefijimkmmllnoqpqrrxxaaxrxhvconkcivisg                                 | hLAMzkbcbdefgghhjhhqqw                                                              
[0, 0, 1, 1, 1, 11, 8, 8, 10]  | tLLLvzQPLAvQQkacfflhimiknlsrsrqqsrbogoalxucsagxdadiims                              | dLQbcbchhjw                                                                         
[0, 0, 1, 1, 1, 11, 8, 9, 9]   | oLLLAvPQwQccefdgkllijjnmnnpuqgphsskffxqvc                                           | fLAMcbcbdeehhjqqs                                                                   
[0, 0, 1, 1, 3, 7, 10, 10, 8]  | oLLvzQMzAQccdhiiijjlmknmnnhshsbvdaaafmoit                                           | dLQbcbchxjn                                                                         
[0, 0, 1, 1, 3, 9, 8, 8, 10]   | vLLLLPvLAQwAPMQbefijinlkpnnloqtrsusuuxxaaxrquhxksfvmxovxcvc                         | fLAMcbcbdeehhjhhs                                                                   
[0, 0, 1, 2, 0, 10, 9, 9, 9]   | tLLLLPvAzQwMQkbefijimlkpnnnqrqssrsxxaaxrxihxvjbxlmvcoc                              | mLAMzMzLQbcbdefghiklllxxjxxxxxxnmxm                                                 
[0, 0, 1, 2, 2, 8, 10, 10, 7]  | qLLvAwLPQMMkcdfhfmnljklkonppphsahsaagsjnsdoxnj                                      | eLAkbcbddhxjqw                                                                      
[0, 0, 1, 3, 1, 8, 10, 10, 7]  | xLLvMLLPvwAAQAPQccdefjmnioqrpnutruuvsvtwwhspbuaagvahroxqhamavugof                   | cMcabbjqs                                                                           
[0, 0, 2, 0, 0, 9, 10, 10, 9]  | sLLLLPvPMQvQQbefijilhkollnqppqrrxxaaxfpbhxocravcrrr                                 | hLAMzkbcbdefgghhjhhhhs                                                              
[0, 0, 2, 0, 1, 8, 9, 10, 10]  | qLLLMPvMQzMkbefghihjmkklnopppxxaiaxfhxrnvqxqwg                                      | eLAkbcbddhhjhr                                                                      
[0, 0, 2, 0, 3, 6, 10, 9, 10]  | rLLwPLLLQPLQccdehfjhnknkompoqpqawatgxkekicaktrkgb                                   | cMcabbjqw                                                                           
[0, 0, 2, 0, 3, 8, 10, 7, 10]  | wLLwPLwvMAvzQQQkcdehfgjlkplpvouvtusuvstawatgvmwvmkgdbuhghguhbf                      | bkaajn                                                                              
[0, 0, 2, 0, 5, 10, 8, 7, 8]   | uLLLLLLvQMQwAQcbefiijklknoonmqrqststxxaarxxhrsfcobxaxgxbf                           | fLAMcbcbdeehhjhxj                                                                   
[0, 0, 2, 1, 0, 9, 10, 9, 9]   | tLLLLPvAzQwMQkbefijimlkpnnnqrqssrsxxaaxfxihxkjrxlmvcoc                              | jLAMLLQbcbdeghhiixxjxxjqijw                                                         
[0, 0, 2, 1, 1, 8, 10, 10, 8]  | rLLLLMLvMPQQcbefigijklqnpmoqqppxxaavfehvmbeofpaxe                                   | gLALQbcbefffxxnndxd                                                                 
[0, 0, 2, 1, 1, 9, 10, 8, 9]   | vLLLLPvvAMMQPQPbefijinkqrnonqqsrsttuuxxaaxflhxejgjxamtmibic                         | hLAMzkbccdefggemkehhhj                                                              
[0, 0, 2, 1, 1, 9, 10, 10, 7]  | tLLALzzwAwPPQkbecdhikjnmnropsqqqsshhvkheavidqhvvdfvvha                              | hLALAkcbbeffggqqnnmxnr                                                              
[0, 0, 2, 1, 2, 6, 10, 10, 9]  | qLLvPzwzQAQkcdhijjnomkmkmpopphshjqqaauaocfmoit                                      | cMcabbgaj                                                                           
[0, 0, 2, 1, 2, 9, 8, 7, 11]   | sLLLLPvMMAQPPbefijihlkonnnpoqqrrxxaaxrsihxbkjaxbraw                                 | kLAMzLPkbcbdefhjijjhhjhhhkhxck                                                      
[0, 0, 2, 1, 2, 9, 8, 11, 7]   | tLLLLPLvMQAMAkbefijihkpmmlnnpqrrssxxaaxrvhxkscffxagwaw                              | iLAMzMcbcbdefghhhhjhhhhqn                                                           
[0, 0, 2, 1, 2, 9, 10, 9, 7]   | uLLLAwMLPLzwQQccegfehjimknppotrtstsshahahnqulsqakshxaphbb                           | jLLAMzQbeddfghiiihhokxhxhmu                                                         
[0, 0, 2, 1, 3, 6, 10, 10, 8]  | qLLwPLLzPQMkcdehfjhjknooomnppawatgxkgcttluftkf                                      | fLLQcbcdeeehwkiiq                                                                   
[0, 0, 2, 1, 3, 7, 10, 8, 9]   | qLLvLMwMAPQkcdgiijmnjlpooonpphsgsvgaagmejfsope                                      | fLLQcaceeedjkuxkj                                                                   
[0, 0, 2, 1, 3, 11, 7, 7, 9]   | qLLALvMAPAPkbedcfklljmnnmopppxxrbcdrrvaaxasbww                                      | fLAMcbcbdeehxjxhw                                                                   
[0, 0, 2, 1, 3, 11, 7, 8, 8]   | nLLPLLMzQkcecfhjjklmjmlmhanhwhhapagmrh                                              | gLAMPbcbdeffhxjqqxr                                                                 
[0, 0, 2, 1, 4, 8, 9, 8, 8]    | uLLLLPvvzQLQQQcbefijikrppoqrtotsssrtxxaaxfhxvrcoxpcpuddxe                           | iLAwLQccbbdfgghhhhkhjlqsw                                                           
[0, 0, 2, 2, 2, 10, 7, 7, 10]  | qLLLLLzQzMQkbedfkhmmljoonmppphhfgakxehaadwvhuw                                      | iLALAMcbcbeffghhxxjnmxkqj                                                           
[0, 0, 2, 3, 1, 8, 9, 9, 8]    | tLLLLPvLAQPwQkbefijilokpnnnqpsrrssxxaaxfpxhxkbkaxxbrww                              | iLAwLQccbbdfgghhhhkhjlqjk                                                           
[0, 0, 2, 3, 2, 8, 9, 8, 8]    | wLLLLPvvzQAPQPPkbefijikroonprqstprtuuvvxxaaxfhxbcjcxwaukxacbuo                      | gLALQbcbefffxxjndxd                                                                 
[0, 0, 2, 3, 3, 8, 7, 7, 10]   | uLLLLPvvzQQAMQcbefijikrllnpqoossrrttxxaaxrhxonkvvcciixakf                           | dLQbcbchhjs                                                                         
[0, 0, 3, 0, 1, 10, 8, 9, 9]   | sLLLLPvwMQLQQbefijihkonnmpropqqrxxaaxrshvbkgxtsmwvo                                 | hLAMzkbcbdefgghhjhhhhw                                                              
[0, 0, 3, 0, 4, 6, 9, 8, 10]   | pLLvLAAMMAQcdieijilmjknmooohsjnvsjaagvsoxhu                                         | dLQbcbchhww                                                                         
[0, 0, 3, 0, 4, 10, 8, 6, 9]   | qLLvMvvPQQQkcdfgokmmknllpmnophsaghlllugngfwvjc                                      | gLAMPbcbdeffhhwhhqn                                                                 
[0, 0, 3, 0, 4, 11, 8, 7, 7]   | tLLvMLvQMPAMPkcdfifljilkpnnoqrrssshsabcphghbufrmdaqmms                              | gLLPQaceedffjkxknnn                                                                 
[0, 0, 3, 0, 5, 10, 8, 7, 7]   | xLLvAvAMLAPMAzMQccdfhjimnlopqqnsssttvvuwwhsahuaaasiaqanxwjqqrofvc                   | kLLLLAQkcdgfhhgijjjhshcrccrddu                                                      
[0, 0, 3, 1, 2, 10, 8, 7, 9]   | sLLLAvAMzzQMQccfgekiilnpmoopqrrrqfaaqtqomadkfofpigg                                 | iLAwLQccbbdfhghhhhrhjhqjf                                                           
[0, 0, 3, 1, 3, 8, 7, 9, 9]    | uLLLLPvMMALMAQcbefijihlkonnqnsrqtrttxxaaxrsihxbkqcxgcpbgw                           | kLAMzMzkbcbdefghijjhhjhhhhhhhr                                                      
[0, 0, 3, 1, 3, 10, 8, 6, 9]   | pLLALzMzMMQccdehgjklmnloonolnnaqomnlatpncfv                                         | iLAMLPcbcbdeghhhhhwhhwiih                                                           
[0, 0, 3, 1, 3, 10, 9, 7, 7]   | BLLLLMzvMQvzQzPAAAQbefigijklmmpoquurtvuwwyzyAzAxxaavrlhcfcmbevcggpbdgwdcafv         | fLLQcbeddeehhnkxx                                                                   
[0, 0, 3, 1, 3, 11, 8, 7, 7]   | tLLwPLPvMvQQPkcdehfgjikmqpopqrsrssawaurvidgqdnnngshfdl                              | hLLPAkaceedfggjkxknnxr                                                              
[0, 0, 3, 1, 4, 10, 7, 6, 9]   | qLLLLLLzPQQkbefiijjlkpmnnooopxxaarxmhfcsksccfj                                      | iLAwLQccbbdfhghhhqnhjhqjf                                                           
[0, 0, 3, 1, 4, 10, 8, 8, 6]   | sLLLMLLMMzLQQbcegfhkjmjlnoprqrqrdfuagjemevbuboqxmdr                                 | kLLLvQQkcdegihijhjjhsloccracmu                                                      
