Weight Vector               | Iso Sig                                   | Simplified IsoSig                         
-------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 3, 1, 2, 3] | mLLAzLMPQcedeggjijklklapsaajtvjtlbo       | cMcabbgaj                                 
[0, 0, 0, 0, 1, 1, 2, 3, 2] | iLLAzQccedegfghhalstarftf                 | cMcabbgqw                                 
[0, 0, 0, 0, 1, 3, 2, 1, 2] | iLLwMQccedfghhghtarpnjnvo                 | cMcabbjqw                                 
[0, 0, 0, 1, 0, 2, 1, 2, 3] | iLLAzQccedegfghhapsaajjmv                 | bkaajj                                    
[0, 0, 0, 1, 0, 3, 1, 2, 2] | jLLvQPQcbefhhgiiilbqlwwruuq               | bkaajn                                    
[0, 0, 1, 1, 0, 1, 3, 1, 2] | iLvAAQcbeffghhghaptapcojj                 | cMcabbjaj                                 
[0, 0, 1, 1, 0, 2, 1, 1, 3] | iLLLAQcbcggehhhglsmmtdqlw                 | eLAkbcbddhhjqn                            
[0, 0, 1, 1, 0, 3, 1, 1, 2] | iLvAAQcbeffghhghaetaakojj                 | eLPkbcddddrwos                            
[0, 0, 1, 1, 1, 1, 3, 0, 2] | jLMvLQQacdhighiihbgpdiehmgf               | cPcbbbqxh                                 
[0, 0, 1, 1, 2, 3, 0, 1, 1] | lLLwLAPQcacdgfhjijkkkbsaanaccoaul         | dLQbcbchxwn                               
[0, 0, 1, 2, 1, 2, 0, 0, 3] | oLvAAPLzMQccdefgghijkmlmnnpjaqqvabctgfshg | fLLQcaceeedjkuxkn                         
[0, 0, 2, 0, 1, 3, 0, 2, 1] | nLLwMvQPMkcedghhhiklkmlmalsmrccpkqcefg    | dLQbcbchhjw                               
[0, 0, 2, 1, 1, 1, 2, 2, 0] | iLLvQQccdegfhhghpwepossok                 | dLQbccchhrw                               
[0, 0, 2, 1, 1, 3, 0, 1, 1] | iLLzAQccdegffhhhhsallnxad                 | gLLPQaceedffjkxknnn                       
[0, 0, 2, 1, 2, 0, 2, 2, 0] | nLvAzvPQQkadeggjillkmmlmbauvcbccrkobgr    | cMcabbjxr                                 
[0, 0, 2, 1, 2, 1, 2, 0, 1] | iLLLAQcccfgehhghqfdaqimke                 | fLLQcbcdeeehwkiiq                         
[0, 0, 2, 1, 2, 3, 1, 0, 0] | jLLvAQQbeehgiihihxxxmvrcwcb               | fLAMcbccdeeemkihr                         
[0, 0, 2, 1, 3, 3, 0, 0, 0] | iLLMPMcbdedgffhhevdworfqn                 | eLAkbcbddhxjqw                            
[0, 0, 2, 2, 2, 1, 1, 0, 1] | iLLLAQcccfgehhghqfdaqimke                 | fLLQcacdeeejkaqnv                         
[0, 0, 3, 1, 2, 2, 1, 0, 0] | jLLvMQQbeefghgiiixxxpvsovfv               | gLLPQcdcfeffqsnahos                       
[0, 1, 0, 0, 1, 2, 1, 3, 1] | iLLLAQcbcggehhhglsmmtaatw                 | dLQbcbchhjs                               
[0, 1, 1, 0, 2, 3, 0, 1, 1] | iLLLAQccegfehghhatiaqkcwk                 | dLQbcbchxjn                               
[0, 1, 1, 1, 3, 2, 1, 0, 0] | iLLwMQccedgfgghhppvugbkfw                 | fLLQcacdeeejkqxvn                         
[0, 1, 2, 0, 1, 0, 1, 2, 2] | jLLwAPQcedfgiihhihpvuhddllk               | cMcabbjak                                 
[0, 1, 2, 1, 0, 2, 0, 1, 2] | lLLMvzQQccdedhkiiikjktgmfmtmmkkof         | eLAkbcbddhhjhr                            
[0, 1, 2, 2, 0, 1, 2, 1, 0] | lLvLAzQQcbdfehkhjkijkewaermotucvb         | eLPkbcdddhrrnk                            
[0, 2, 3, 1, 0, 1, 0, 1, 1] | iLLLPQccdehgfghhawptbfrwk                 | dLQbcbchxjj                               
[1, 0, 0, 0, 1, 2, 1, 3, 1] | iLLLAQcbcggehhhglsmmtmatw                 | eLAkbcbddhxjqs                            
[1, 0, 0, 0, 1, 3, 1, 2, 1] | jLLvPQQcdgihffihiuwuwcfojkf               | dLQbcbchhww                               
[1, 0, 1, 0, 2, 3, 0, 1, 1] | lLLMvMPQcacdegjikkijkbsacatolawna         | eLAkbcbddhhwqj                            
[1, 0, 1, 0, 3, 2, 0, 1, 1] | iLLLMQcccfghhfghqfiaworos                 | eLAkbcbddhxwqs                            
[1, 0, 1, 1, 2, 1, 0, 3, 0] | jLLwMQPcedgfhhgiiauwiswjbib               | cMcabbjqs                                 
[1, 0, 1, 1, 2, 3, 0, 0, 1] | lLLMvMPQcacdegjikjkkjbsacaprlwxpf         | fLAMcbccdeeemkehw                         
[1, 0, 1, 2, 0, 0, 3, 1, 1] | lLvAALPQcadfegjikjkkjbaxcvtxgboos         | eLMkbcdddhhhqx                            
[1, 0, 1, 2, 1, 2, 2, 0, 0] | iLLwMQccedgfgghhpuvusowfs                 | fLLQcaceeedjkuxkj                         
[1, 0, 1, 3, 0, 1, 0, 1, 2] | iLLLMQcccfghhfghqfiagkroj                 | eLAkbcbddhhjqj                            
[1, 0, 1, 3, 1, 0, 2, 0, 1] | iLvAAQccfefgghghuauhaffbw                 | fLLQcbeddeehhokum                         
[1, 0, 2, 0, 3, 3, 0, 0, 0] | hLLPAkbddeefggtvgeerxj                    | fLAMcbcbdeehxjqhr                         
[1, 0, 2, 2, 1, 1, 2, 0, 0] | iLvAAQcbeffghhhgtaldxbnnk                 | gLLAQbcedfeftsqsxwk                       
[1, 0, 3, 0, 3, 2, 0, 0, 0] | hLLPAkbddeefggtvgeegxr                    | fLAMcbcbdeehxjxhw                         
[1, 0, 3, 1, 2, 1, 0, 0, 1] | lLvAALMQcadfegjhijkkkbaxcvtesbscr         | fLAMcbccdeeemkehj                         
[2, 0, 0, 2, 1, 2, 1, 1, 0] | iLLLAQcccfgehhghqfdaqmmoe                 | fLLQcacddeejkaikr                         
[2, 0, 0, 3, 1, 0, 3, 0, 0] | iLLMPMcbdedfgfhhdwanonfqn                 | fLAMcbccdeeemkihn                         
[2, 0, 1, 1, 2, 2, 1, 0, 0] | iLvAAQcbeffghhhgtalaxjnnk                 | gLALQbcbefffhxwndxd                       
[2, 0, 1, 3, 0, 0, 3, 0, 0] | hLLPAkbddeefgglvgeqrxj                    | gLLAQbcedfeftsqsqsw                       
[2, 0, 1, 3, 1, 0, 1, 0, 1] | iLvAAQccfefgghghuauhafobk                 | fLLQcacddeejkaikk                         
[2, 0, 2, 1, 2, 1, 1, 0, 0] | iLvAAQcbeffghhhgtalahjnnw                 | gLALQbcbefffxxnndxd                       
