Weight Vector                                 | Iso Sig                                             | Simplified IsoSig                                   
---------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 2, 1, 3] | mLAvLLMQQccbihjjhliklltlfpgnbftbugv                 | cMcabbgqw                                           
[0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 2, 1, 1, 1, 1] | nLvALPQLMkcdegghihiklmlmpvaovjvrkwtpfb              | cMcabbjaj                                           
[0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 1, 1, 1, 2, 0] | mLvAAMzAQceefghhhjklkluhuhaojcsptbv                 | bkaajj                                              
[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 2, 3] | mLLAAvAMQbeeeffjjjlkkleadeaapootaov                 | cMcabbgaj                                           
[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 3, 2] | mLLAAvAAQbcddffjjjklkldfbfcclddcivg                 | bkaajn                                              
[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 3, 2, 1] | mLLLLPMMQbegffigjkllkltamevggeuhvog                 | dLQbcbchhjw                                         
[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 3, 1, 2] | mLLAzMLQPceddfghjjkjlltqvnvnlgclfio                 | dLQbcbchxwn                                         
[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 3, 2, 1] | mLLMzMLQPcdedfghjjkjllpkhrgrpooawmg                 | dLQbcbchxjn                                         
[0, 0, 0, 0, 0, 1, 0, 1, 1, 3, 0, 0, 1, 1, 2] | mLvAMzQMPcdegfgjijikllpvaucvaqupumg                 | cMcabbjqs                                           
[0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 2, 3, 2] | nLLAALMzAkbeedffhhjjklmmhhakalkkkrvnpb              | cMcabbjqw                                           
[0, 0, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1, 2, 2, 0] | mLLLLPMQPbcffghhjkjjllebpkbccqdqeig                 | dLQbcbchhww                                         
[0, 0, 0, 0, 1, 1, 0, 1, 2, 2, 1, 0, 0, 2, 0] | lLALzPMMccbcfghiijjkkaikdxnjjxisk                   | gLAMPbcbdeffhhjqxhs                                 
[0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1, 1, 2, 1] | mLALzLMMQbccfghhjjkllllajeqkkheijgo                 | fLAMcbcbdeehxjxhw                                   
[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 3, 1, 2] | mLALPPLzQcbcfgfhhjkkllaikdxejjjlirw                 | gLAMPbcbdeffhhwqxhs                                 
[0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 2, 1, 2, 0, 1] | oLALvPvAQQcbccfiimjjklmnnnlajekkqggdgvskn           | eLAkbcbddhhjqj                                      
[0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 2, 0, 0, 2, 1] | oLALLPLvQQcbccffihklnnmlnmlajetwrqrvrgnfb           | dLQbcbchxjj                                         
[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 0, 2, 0, 1] | oLALPvLzQQccbcfgfjjlkmmmnnaikdxexvcgscoxb           | eLAkbcbddhxjqw                                      
[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 0, 0, 1, 1, 0] | nLALzLMAPkcbcfgiijkkllmmaikdxjjqxinsxc              | eLAkbcbddhxjqs                                      
[0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 1, 1, 2, 1] | nLALzLMPPkbccfghhijllmmmlajeqkkrlcnehx              | gLAMPbcbdeffhhwqqhk                                 
[0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 1, 2, 2, 0] | rLALzLMvPAAQccbcfgiijnlmmmpopqqaikdxjjqjscrvqcsoo   | fLAMcbcbdeehhwqxr                                   
