Weight Vector                                 | Iso Sig                                                | Simplified IsoSig                                      
---------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 1, 1, 2, 1] | rLAvLLvPPPQQcccbijonikqolnqqoppimcdgiafmcbonwjvfo      | cMcabbgqw                                              
[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 2, 3, 2] | nLLMvAQLMkcdedhgiiiklmlmpkhrarppsttpfo                 | bkaajn                                                 
[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 2, 1, 3] | mLLAALMzQbeedffhhjklklapuvpuoogiugv                    | bkaajj                                                 
[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 3, 2, 1] | mLLAAzMzQbedeffhhjklklxarxearrfmmog                    | cMcabbgaj                                              
[0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 2, 1, 0, 3, 0] | nLLLLAQzAkbegfghhjjklkmmxxtxfcsaltjfec                 | cMcabbjxr                                              
[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 3, 1, 2] | mLLAzwMMQceddfgjkilllktqvnvnaegeeec                    | cMcabbjqw                                              
[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 1, 3, 0, 1] | pLLLPLvAQPQbddfhgjknlmonnmodwfgwnqnlgopuuob            | cMcabbjqs                                              
[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 1, 3, 1, 0] | oLLLLPMPzQccdgiffjjklmnmmnaomsfoeiltspbcb              | cMcabbjaj                                              
[0, 0, 0, 0, 0, 1, 0, 1, 1, 3, 0, 0, 2, 2, 1] | mLvAAwQMPbeffggjjiiklldadeakdexdeig                    | dLQbcbchhww                                            
[0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 2, 2, 2, 0, 0] | oLLLMvAPQPcbedfhkkmlkjlnmnamftcdeufbbkqvc              | cMcabbjak                                              
[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 3, 2, 3] | nLLAwPzMAkbedefgiijkklmmaubpacubwxuoef                 | dLQbcbchhjw                                            
[0, 0, 0, 0, 0, 1, 1, 0, 1, 2, 2, 0, 1, 3, 0] | mLvAAzMQPbeffggjiijklledeaajeqewvtv                    | dLQbcbchhjs                                            
[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2, 0, 3, 1, 2] | mLLAzMLQPceddfghjjkjlltqvnvnlgclfio                    | dLQbcbchxwn                                            
[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 2, 1, 3] | nLLvMLQMAkbeegkihjijklmmaimmlkfmfmgwic                 | dLQbcbchxjj                                            
[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 3, 1, 2] | mLALwPwQPbccfeiiikjklllajerattdakpn                    | fLAMcbcbdeehhwhxj                                      
[0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 3, 1, 2] | nLALLPPzAkbccffihhikllmmlajetsrrfjmlfj                 | gLAMPbcbdeffhhwqxhs                                    
[0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 3, 2, 1] | nLALLPPzAkbccffihhikllmmlajetsrrfjmljn                 | fLAMcbcbdeehxjxhw                                      
[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 2, 3] | nLALLLPPMkbccffhhijklmmmlajetrrjtbcmee                 | eLAkbcbddhxjqw                                         
[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 2, 3, 1] | nLALLLPMPkbccffhhijllmmmlajetrrfdcwehd                 | gLAMPbcbdeffhxjqhxn                                    
[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 2, 0, 3] | nLALLLPzQkbccffhhillmlmmlajetrrflcaweh                 | fLAMcbcbdeehxjxhs                                      
