Weight Vector                                 | Iso Sig                                                     | Simplified IsoSig                                           
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 1, 2, 2, 3] | oLAvLvPQMQcccbijhlmlimnnmntlfpjflalbhnjfb                   | cMcabbgqw                                                   
[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 3, 4, 3] | oLLLAMMzPPccdgffhihjjlmnmnhshataaajjvmmoc                   | cMcabbjqw                                                   
[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 2, 3, 4] | oLLLLAMPLQcbefehijkllnkmmndaadwfiihmeobff                   | cMcabbgaj                                                   
[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 4, 3, 2] | nLLLQwPLMkcdgffggiilkmlmhshatggfflkmvo                      | bkaajn                                                      
[0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 2, 1, 3, 1, 3] | pLLvMLMQwAQbefejkhikkjmnonoamiiiarfdiidmdcc                 | bkaajj                                                      
[0, 0, 0, 0, 0, 1, 0, 0, 3, 3, 2, 1, 1, 3, 0] | nLLLLAQzAkbegfghhjjklkmmxxtxfcsaltjfec                      | cMcabbjxr                                                   
[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 4, 2, 3] | nLLALMzPAkceddhghjklllmmtqvnqnuaieeetv                      | dLQbcbchhjw                                                 
[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 4, 3, 2] | nLLLAMzwQkcdgffhiikmlllmhshataatatuvsf                      | cMcabbjak                                                   
[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 1, 4, 1, 2] | qLLAvMLwPQAkceddghilnoklmoopptqvnnunshecvhnndf              | dLQbcbchhww                                                 
[0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 2, 0, 3, 3, 1] | rLvAAvzPMAMQcbeffgknlnlokpqppoqedeaaepsnjabetupov           | dLQbcbchxjn                                                 
[0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 3, 1, 1, 2, 2] | pLLLvMMzPQQbefgfgjmnnmolmooeaifcfopapfwcjcb                 | cMcabbjaj                                                   
[0, 0, 0, 0, 0, 1, 0, 1, 1, 3, 0, 0, 3, 3, 2] | oLLvALMLQQccdfhkjjnlmlmlmnlgaaamhegcccogb                   | eLAkbcbddhhwhr                                              
[0, 0, 0, 0, 0, 1, 0, 1, 2, 3, 1, 1, 2, 3, 0] | oLLLvMPzQQcbefgfiilmnnlnmmeaifccglhapsnrn                   | dLQbcbchxjj                                                 
[0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 2, 0, 4, 1, 2] | pLLAvLAzQQPceddhijjlmlnlmootqvnulhbgeclfoio                 | dLQbcbchxwn                                                 
[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 4, 3, 4] | pLLAwMvPAQPbedefgikjkmmnmooaubpabaafpqkubdc                 | eLAkbcbddhhjhr                                              
[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 1, 3, 3, 2] | qLLLvPMAwMQkbedjgklhijompnppoaivxsthvcidkxiwob              | cMcabbjqs                                                   
[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2, 0, 4, 2, 3] | nLLALMLMAkceddhghjkkklmmtqvnqnuncffapb                      | eLAkbcbddhhwqj                                              
[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 3, 4, 2] | oLLLwLPQMMccddfiiklkljkmnnlgfamhlgjcjvapb                   | eLAkbcbddhhjqj                                              
