Weight Vector                                 | Iso Sig                                                           | Simplified IsoSig                                                 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 1, 2, 4, 2] | tLAvLLvLAzQQQkccbijnmirmlnpoosrrssimcugaibwsosrbgeggmx            | cMcabbgqw                                                         
[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 4, 4, 5] | nLALLLQLMkbcbehihihklmlmhhjsaawasmeifo                            | dLQbcbchhjw                                                       
[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 4, 5, 4] | oLLLAzQzPPccdgffhhhjjlmnmnhshathahssvmmco                         | eLAkbcbddhhjhr                                                    
[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 4, 3, 4] | qLLLwMwPMzQkcdgfhfimklnopoonphshawcawjopaetaof                    | cMcabbjqw                                                         
[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3, 1, 3, 2, 3] | pLLAvQLLQzQbeedihgjlllmnonoapuvufvavjjhpiog                       | bkaajn                                                            
[0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 2, 1, 3, 3, 1] | qLLLPvAzAQPkccfggijlknonlpooplnalgqlekitifpxgb                    | bkaajj                                                            
[0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 4, 1, 1, 3, 1] | oLLvzQPPMPccdhjfijhijlmnmnhshefvdojlkidoc                         | cMcabbjaj                                                         
[0, 0, 0, 0, 0, 1, 0, 0, 3, 3, 3, 1, 0, 4, 0] | oLLLLPPMPPcbegfjiijijmlnmnxxtxxvvegaunubb                         | dLQbcbchhjs                                                       
[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 3, 3, 5] | qLLLvQwLMQPkbefghfgklonmnmpppeaiffcflapkkkfuuu                    | cMcabbgaj                                                         
[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 3, 1, 4, 1, 2] | uLLLLzwMwwAQPQcbddhigmnlpmorqstssqrtdwfwandwnlneuleibbcog         | cMcabbjqs                                                         
[0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 0, 1, 3, 2, 4] | pLLLAPLPzQPbedfehiikkmmmnooamfiiiasccafcctf                       | cMcabbjxr                                                         
[0, 0, 0, 0, 0, 1, 0, 1, 1, 3, 0, 1, 3, 3, 2] | oLLLLLLMQQcbedfkiijnnlkmmnamfglfrmavjfnsw                         | dLQbcbchhww                                                       
[0, 0, 0, 0, 0, 1, 0, 3, 1, 1, 2, 1, 3, 1, 2] | rLvALvLAAMQQccfchihlnloqopqonqpplovorilwbdbqhsvmb                 | dLQbcbchxwn                                                       
[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 4, 4, 3] | sLLLMvzwAPQQPcddffjjjnpoqpmnoprrlgfaglgflipmqofvwpb               | eLAkbcbddhhwhr                                                    
[0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 3, 3, 5] | sLLLwwLMQAAPPcdggfimmkjklloopqrrakeekuegkofcvlevptv               | cMcabbjak                                                         
[0, 0, 0, 0, 0, 1, 1, 0, 2, 3, 3, 0, 1, 4, 0] | nLLvLQAQzkcdgigigjjkklmmhsjskvkssitspo                            | eLAkbcbddhhjhk                                                    
[0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 0, 2, 4, 1] | oLLLLwMQMMcbcffghklljjlmnndfpgfcaapxdcaig                         | eLAkbcbddhxjqw                                                    
[0, 0, 0, 0, 0, 1, 1, 1, 2, 3, 1, 0, 1, 3, 2] | oLvAvLQQPPccfckiljkkimmnnnploafxllxjmvadl                         | dLQbcbchxjn                                                       
[0, 0, 0, 0, 0, 1, 1, 2, 0, 1, 1, 2, 4, 1, 2] | pLLAzvwQPQPceddfikikmnlnnootqvnvhvvwleveeio                       | eLPkbcddddrwos                                                    
[0, 0, 0, 0, 0, 1, 1, 2, 0, 1, 1, 2, 4, 2, 1] | pLLLvLQAwQQbeffkhilkmolnonoeaicqvcpaxpgvvok                       | fLLQcacdeeejkaqnv                                                 
[0, 0, 0, 0, 0, 1, 1, 2, 0, 1, 2, 1, 4, 1, 2] | oLLAzLwPQMcceddfhimmklkmnntqvnvlhapclfiio                         | fLLQcacddeejkaikr                                                 
[0, 0, 0, 0, 0, 1, 1, 2, 0, 1, 2, 1, 4, 2, 1] | oLLMzLwPQMccdedfhimmklkmnnpkhrgpteuoawmmg                         | fLLQcacdeeejkqxvn                                                 
[0, 0, 0, 0, 0, 1, 1, 2, 1, 2, 3, 1, 3, 0, 1] | sLvAvLLPPQPQPadeinjonpkllooppqrrbaeadkfvafwwkkapetf               | eLAkbccddemkij                                                    
[0, 0, 0, 0, 0, 1, 1, 2, 1, 3, 0, 1, 3, 2, 1] | rLvALLzPMPQPccecgiikjnmoomoppqqtpvbsvaqubqqsplxjo                 | fLLQcaceeedjkuxkj                                                 
[0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 4, 1, 2, 2, 0] | qLvALAzMMPPkcecghijllmkoonpoptpvbovdudmfeedbbo                    | cPcbbbqxh                                                         
[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 5, 3, 4] | mLALALMLQbcbfefhiiklllhhjpviiiboalt                               | hLAMzkbcbdefgghhwhhhxj                                            
[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 5, 4, 3] | mLALALMMPbccfefihijklllajertdtwuhhk                               | eLAkbcbddhhwqj                                                    
