Weight Vector                                 | Iso Sig                                                             | Simplified IsoSig                                                   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 1, 2, 4, 3] | sLAvLLPvMMMQQccbijhlinnommpqrqqrimcugsxbisorgouxmxv                 | cMcabbgqw                                                           
[0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 1, 1, 3, 4, 2] | nLLAzAPLAkbdedfhhjjklkmmdwassatacpibic                              | cMcabbjqs                                                           
[0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 2, 1, 3, 1, 4] | pLLAPvwQwAQbecdgfjljljnmonoxxoffcaaoagmttgf                         | cMcabbjxr                                                           
[0, 0, 0, 0, 0, 1, 0, 0, 3, 3, 1, 1, 2, 3, 2] | pLLLwAPMMzQbedeggkjijkmnonoaifmkwmpiwwbtlvv                         | bkaajn                                                              
[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 3, 4, 5] | oLLAPzwPMMccdecffhhlllkmnnhsanwsaaafcfaub                           | cMcabbjqw                                                           
[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 3, 5, 4] | oLLLLAzQAMcbegighjhilklmnnlaauggmfbgcoeqw                           | dLQbcbchhjw                                                         
[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 5, 3, 4] | oLLALvMQPMcceddhilkkklmlnntqvnqiavnociftv                           | cMcabbgaj                                                           
[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 5, 4, 3] | oLLLAzPzQPccdgffikkjmmknmnhshatahgcdxfufb                           | fLAMcbcbdeehhjhhw                                                   
[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 5, 3, 4] | oLLALwLAQMcceddhgjjllklmnntqvnqnvncfgfapb                           | fLAMcbcbdeehhwhxn                                                   
[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 5, 4, 3] | oLLLALPzQPccdgffjkkimmknmnhshatahgcdxfufb                           | fLAMcbcbdeehhwhxj                                                   
[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 0, 5, 2, 3] | pLLALwzzQQPceddhgjmmklknmootqvnqnllhfucrvpb                         | dLQbcbchhww                                                         
[0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 3, 1, 1, 4, 2] | pLLLALzPAMQccfgeijmjjmmonnoajaxttxtrfaadggc                         | bkaajj                                                              
[0, 0, 0, 0, 0, 1, 0, 1, 1, 3, 0, 0, 3, 3, 4] | oLLLvMMAPQcbefgfkilklmmnnneaifcegixpapwvb                           | cMcabbjaj                                                           
[0, 0, 0, 0, 0, 1, 0, 1, 3, 4, 2, 1, 1, 3, 0] | sLLLMvzPwAMQQbedfhlnmlkoprqnrprqamficduffneedavbccv                 | eLAkbcbddhhjhr                                                      
[0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 3, 1, 4, 1, 2] | rLvALvLQMzQQccfchihljnkpmoqoppqplovorialbdfmdmmfg                   | dLQbcbchxwn                                                         
[0, 0, 0, 0, 0, 1, 0, 2, 1, 2, 2, 1, 3, 1, 3] | qLLLLPvAMQPkbedhhimkjmonnpoopdafwwwitdfewftqxv                      | dLQbcbchxjj                                                         
[0, 0, 0, 0, 0, 1, 0, 2, 1, 2, 2, 1, 3, 3, 1] | sLvALvPvAMQQQcfchmljploornorpqrqplovdllawvwafkmrrlo                 | dLQbcbchhjs                                                         
[0, 0, 0, 0, 0, 1, 0, 2, 1, 3, 1, 1, 2, 3, 2] | pLvAvMPLQMQcechikljjmmnoonotpvbspxaptbsaebl                         | dLQbcbchxjn                                                         
[0, 0, 0, 0, 0, 1, 0, 2, 2, 3, 2, 0, 3, 3, 0] | pLvAvPvMQQQcfehfmmlmnlknoooliaggddeaielkgcc                         | eLAkbcbddhhjhk                                                      
[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 5, 3, 4] | qLLALwvwQQAkceddhgmnnommnllpptqvnqnqeteulevcpb                      | eLAkbcbddhhwhr                                                      
[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 2, 2, 3, 3, 2] | qLLLLvzMMQQkbedglininpllmooopaibsagubkdsrsbrkb                      | cMcabbjak                                                           
[0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 0, 3, 1, 4] | pLLvMLLAQQPbeegkjmljlmknmooaimmlmqpmtagwkic                         | eLAkbcbddhhjqn                                                      
[0, 0, 0, 0, 0, 1, 1, 1, 2, 3, 3, 0, 1, 4, 0] | oLLLLvPQQMcbefijhmklkllknnhhdtlkdthtdwntf                           | fLAMcbcbdeehhjhhs                                                   
[0, 0, 0, 0, 0, 1, 1, 1, 3, 4, 2, 0, 0, 3, 1] | oLLLLPPLQMcbegfhiijjmmmlnnxxtxcvveecgsgmc                           | eLAkbcbddhhjqj                                                      
[0, 0, 0, 0, 0, 1, 1, 2, 1, 0, 3, 1, 4, 1, 2] | sLvALLPvPAQAQcdeggkjoomlqnmoqrqruvuvvpldwwbavfopluf                 | eLAkbcbddhhwqj                                                      
[0, 0, 0, 0, 0, 1, 1, 2, 1, 2, 0, 1, 3, 4, 1] | sLvALLzAzwQQQcecgiiimnnoporpqrrqtpvbbffqwsqmpdapnbv                 | eLAkbcbddhxwqs                                                      
[0, 0, 0, 0, 0, 1, 1, 2, 1, 2, 0, 1, 4, 3, 1] | rLLvwwvPQMQQccefgplikmklnnoqqqpppagepvmamooonwowc                   | eLPkbcddddrwos                                                      
