Weight Vector                                 | Iso Sig                                                                | Simplified IsoSig                                                      
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 3, 1, 2, 3, 4] | uLAvLvLAMMLQMQcccbikhmilknoqprstttrsimcudrubaawrarqttoogf              | cMcabbgqw                                                              
[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 5, 5, 6] | oLAwLzMAMPccbbdfijjiilmnmnhhkhjaaawjlptof                              | eLAkbcbddhhjhr                                                         
[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 5, 6, 5] | pLLLAzPAwAQcdgffhkkkjjmnonohshathhgbssvmmco                            | fLAMcbcbdeehhjhhw                                                      
[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 5, 4, 5] | rLLLwMzPzAMQccdgfhfkkmlonpqqqophshawchgwopeelwwof                      | dLQbcbchhjw                                                            
[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3, 1, 4, 3, 4] | rLLAwwvQMPPPcbedefgikjlnnnopqpqaubpabobcaakkrmucb                      | cMcabbjqw                                                              
[0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 2, 1, 3, 5, 3] | rLLLPvMLQwQMccddgfhkjkmnmonpoqqpkrgkrtfkkagtmvfmg                      | cMcabbjqs                                                              
[0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 1, 4, 3, 4] | qLvALLvQzQQkcecehlkmmnoppopnoumbokamadrkahbubc                         | cMcabbgaj                                                              
[0, 0, 0, 0, 0, 1, 0, 0, 3, 3, 3, 1, 4, 0, 3] | qLLLMLMAMLMkcdgfgfhkkkllonpophshagcbavwaaellbf                         | cMcabbjxr                                                              
[0, 0, 0, 0, 0, 1, 0, 0, 4, 4, 3, 1, 1, 4, 0] | oLLLLPPMPPcbegfjiijijmlnmnxxtxxvvegaunubb                              | dLQbcbchhjs                                                            
[0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 1, 1, 4, 5, 3] | qLLLAvzPQMPkcdefgknjjkknnpooparuatltrfrwaadggc                         | bkaajn                                                                 
[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 3, 1, 5, 2, 3] | vLLAvwLMvQzPQMQceddgkilpmonrstqttursutqvnnvnvenhqwnggccpgcb            | dLQbcbchhww                                                            
[0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 2, 0, 5, 2, 4] | qLLvAvMMzQQkcdfhjklnolkppoponlgaammmeaobamamib                         | eLAkbcbddhhwqj                                                         
[0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 3, 1, 3, 2, 4] | rLLLvMwPzQQPcbefgfgnmmpnolnoqqqeaifcfppapfwcjcapp                      | bkaajj                                                                 
[0, 0, 0, 0, 0, 1, 0, 1, 1, 3, 0, 1, 4, 4, 3] | pLLLPLvwQQQbedhfjmknjlloonoamfxglljjfnsdtba                            | eLAkbcbddhhwhr                                                         
[0, 0, 0, 0, 0, 1, 0, 1, 1, 3, 1, 0, 4, 2, 5] | pLLvLAPAMAQbegfghjkllknnonotaqgsbramtavcesc                            | dLQbcbchxjj                                                            
[0, 0, 0, 0, 0, 1, 0, 1, 2, 3, 2, 0, 4, 4, 1] | sLvAAvwzMMAQQbeffgjnnloloprqqqpredeaaepnnefeutupnov                    | dLQbcbchxjn                                                            
[0, 0, 0, 0, 0, 1, 0, 1, 2, 3, 3, 0, 3, 4, 1] | sLvAvLMAMwQQPbefhkikknnopppnqorrdadwafdhxaacrsrtvig                    | eLAkbcbddhhjqj                                                         
[0, 0, 0, 0, 0, 1, 0, 1, 2, 4, 1, 0, 3, 4, 2] | pLLvzzwPQQQcdhfgokklmnmnmnolgafveexagcccwvb                            | eLAkbcbddhxwqs                                                         
[0, 0, 0, 0, 0, 1, 0, 1, 2, 4, 3, 1, 2, 1, 3] | qLLLvMwzPQQkbefgfglmoolpnnpnpeaifcfaaapwwwoobb                         | cMcabbjaj                                                              
[0, 0, 0, 0, 0, 1, 0, 3, 2, 3, 2, 1, 1, 1, 4] | qLvALLwLPQQkcfehfkllomponmnppliaagadanfcbbcbcc                         | cMcabbjak                                                              
