Weight Vector                                 | Iso Sig                                                                     | Simplified IsoSig                                                           
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6, 1, 2, 4, 2] | sLLAvwwwwPQQQceecghmkpopqmqnporruimbgcdjuhqlfhcgorg                         | cMcabbgqw                                                                   
[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 5, 6, 5] | qLLLAMzLQLMkcdgffhijlkklnopophshataahaahsmmlof                              | eLAkbcbddhhjhr                                                              
[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 4, 5, 6] | qLLALLLAMPMkbedchihlkmnooopnpxxrbxaucgummaapob                              | cMcabbjqw                                                                   
[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 6, 5, 4] | pLLLAwPMwAQcdgffhkkkjjnmonohshatahgbfflkmvo                                 | dLQbcbchhjw                                                                 
[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3, 1, 4, 5, 4] | rLLLALwALQPPccdgffjhklnlnnopqpqhshataajaaatvvmmco                           | bkaajn                                                                      
[0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 2, 1, 5, 3, 5] | qLLMwLMLwQMkcdeffijjmlonmmpopakheepegaheqwwico                              | cMcabbjqs                                                                   
[0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 2, 1, 3, 6, 3] | qLLLvMMwPQAkbddjhjhlnokmmmnpptvfabtghmivbgbodb                              | dLQbcbchxjn                                                                 
[0, 0, 0, 0, 0, 1, 0, 0, 3, 3, 1, 1, 4, 3, 4] | qLLAMLvMQLMkbeedfgilmmmlonpophaakagtaatlltiivo                              | cMcabbgaj                                                                   
[0, 0, 0, 0, 0, 1, 0, 0, 3, 4, 4, 1, 1, 5, 1] | pLLLLLQLPQPcdggjkiklnmnnloohshgdasuiirssoub                                 | dLQbcbchhjs                                                                 
[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 6, 4, 5] | pLLALwzwQQPceddhgklmnllmmootqvnqnaqetlueepb                                 | fLAMcbcbdeehhjhhw                                                           
[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 1, 6, 3, 4] | sLLALwvwAQPMQceddhgmnlmklpqqrpqrtqvnqnqenucvgccpbbb                         | fLAMcbcbdeehhwhhw                                                           
[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 1, 6, 4, 3] | sLLLALPwzAQPPcdgffjkhimmopoppqrrhshatahfoaejanpxqdb                         | dLQbcbchhww                                                                 
[0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 2, 0, 5, 5, 3] | tLLLLzwwPAMQAkcddhhgmpkomnnoqqprsslgfgvvtafxgaiqjrcspb                      | eLAkbcbddhxwqs                                                              
[0, 0, 0, 0, 0, 1, 0, 1, 1, 3, 0, 0, 5, 5, 4] | sLLLLPMwwAPAQcddhhjgjimnnqqpprqrlgfgvavhiqigqaiiprb                         | gLAMPbcbdeffhhwhhhr                                                         
[0, 0, 0, 0, 0, 1, 0, 1, 2, 2, 3, 1, 3, 2, 5] | sLLLLPwQvMMAQbegiffgkljonmoqprrrtamavfguauauooawqrb                         | cMcabbjxr                                                                   
[0, 0, 0, 0, 0, 1, 0, 1, 2, 3, 1, 1, 4, 5, 2] | uLLLMvvzPMzQQQcbedfhojlklqspsrotsttramficuconrupqpavfsfcv                   | eLAkbcbddhhwqj                                                              
[0, 0, 0, 0, 0, 1, 0, 1, 2, 3, 3, 0, 5, 1, 4] | rLLLLPvAPAPQcbedhhimjokmnqppopqdafwwwimcwjwtahnqv                           | eLAkbcbddhxjqs                                                              
[0, 0, 0, 0, 0, 1, 0, 1, 2, 4, 3, 1, 2, 5, 1] | qLLLvMwzQAQkbefgfgmnmoolnpnppeaifcfuuaapwweolq                              | bkaajj                                                                      
[0, 0, 0, 0, 0, 1, 0, 1, 3, 3, 5, 0, 4, 1, 2] | pLLvzLPMQPQcdhjgmlnlkjkooonlgauvxpeddujxtxb                                 | dLQbcbchxjj                                                                 
[0, 0, 0, 0, 0, 1, 0, 1, 3, 4, 1, 1, 3, 2, 4] | sLLLvMwAMLQMQcdghhkilnlomqpnprrragmgvagmdcaclabftlt                         | cMcabbjak                                                                   
[0, 0, 0, 0, 0, 1, 0, 1, 3, 5, 3, 0, 2, 5, 0] | pLvAvPLQPPQcfehfkmjmmnolnooliaggedodaqngnoo                                 | eLAkbcbddhhjhk                                                              
[0, 0, 0, 0, 0, 1, 0, 1, 4, 4, 3, 1, 3, 2, 1] | rLLAvLzLPMQQcbecdijkpmnmnqonqqpauofutodspsdadhgof                           | cMcabbjaj                                                                   
[0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 2, 0, 6, 3, 4] | rLLALvzzAQQMcceddhinkmmonnmpoqqtqvnqhqocfiulfavpb                           | fLAMcbcbdeehhwhxn                                                           
