Weight Vector                                 | Iso Sig                                     | Simplified IsoSig                           
-----------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 3] | oLLAvLPzQQcceechhlkmlmlknnlimvvcekjgsgvho   | cMcabbgqw                                   
[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 2, 0] | kLLAAzMkbcddffhijijdfcfccrlevc              | bkaajj                                      
[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 2, 1] | nLLLMALAPkccfgefgjjjmllmubauofbdjjlugf      | cMcabbgaj                                   
[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 2, 1, 0] | lLLAzzQMcbdedfgjijjkkdwasssagcrmg           | cMcabbjqw                                   
[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 2, 1, 0] | lLLAzLQMcbdedggjijjkkdwaswsiggfmg           | cMcabbjxr                                   
[0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 1, 0, 2] | jLLLMPQbdfgghfiiievipfvclqe                 | bkaajn                                      
[0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 0, 1] | lLLAALwQcbeeeffhhkjjkeaaeaaaptqov           | cMcabbjaj                                   
[0, 0, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1, 0, 0, 1] | lLvALPAQccecghgijjkkktpvbbbcaqeaw           | cMcabbjqs                                   
[0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1, 1, 1, 0, 0] | nLALwLzMQkbccfejhljlmklmlajertbdcwmocf      | dLQbcbchxjn                                 
[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 2, 0] | lLALLAzQccbceghhhkjkkpiggtgnfdrmm           | eLAkbcbddhhjqn                              
[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 2, 0, 1] | lLALLAzQccbceghhhkjkkaikkmkfwdrmm           | fLAMcbcbdeehxjqhr                           
[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0] | mLALzzMMQcbcfghjkkjkllaikdxnaxixicf         | eLAkbcbddhxjqs                              
[0, 0, 0, 0, 1, 1, 2, 1, 0, 0, 0, 2, 0, 0, 0] | pLALzLAAzQPcbcfgiihkjmlnnooaikdxjjnmhifccxc | dLQbcbchhjw                                 
[0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 1, 2, 0] | oLLLAwLAMQcbcggffjjjllmnmntsdadrrccleujvb   | dLQbccchhrw                                 
[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 1, 1, 1, 0] | kLLALwQkccdefhijiijubvuvpmdovb              | cMcabbjak                                   
[0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 1] | mLvAzLQPQcfeghgijkklklplauvcjxlprbg         | eLAkbcbddhhjqj                              
[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 2, 1, 0] | kLALLPPkbccfghhjijjtpkalnbajqe              | eLAkbcbddhhjhr                              
[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 2, 1, 0] | kLALLPPkbccefihhjjjdmgguabfebj              | eLAkbcbddhhwqn                              
[0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 1, 1, 1, 0] | nLLLLvQPQkccfghkjmklkjmmubajjexapqqfkj      | eLAkbcbddhhwhr                              
[0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 2, 1, 0] | pLALAvMLMPQcbcfefjijmmolonopigdftljnajaclof | dLQbcbchxwn                                 
[0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 1, 1, 1, 0, 0] | nLALwvAMQkbccfehjljlmklmlugecomicbmvof      | eLAkbcbddhhwqj                              
[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 2, 0] | lLALLAzQccbceghhhkjkkpiggtgnfdrmi           | fLAMcbcbdeehhjhxn                           
[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2, 0, 1] | lLALLAzQccbceghhhkjkkaikkmkfwdrmi           | gLAMPbcbdeffhxwqqxk                         
[0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0] | mLALLzMMQbccfgijjkkklllugeeraeqqewg         | fLAMcbcbdeehxwxhw                           
[0, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 2, 0, 0, 0] | pLALLLQzzQPbccfghhijkmlnnoolugeejjrtdpckkdf | eLAkbcbddhxwqs                              
[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 2, 0, 1] | kLALvAQkcbceiihijjjaikkvovklae              | fLAMcbcbdeehhwhxn                           
[0, 0, 1, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0] | lLLALLQPcbdcdghjijkkktvofdtvbvdtd           | fLAMcbcbdeehhjqxr                           
[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0] | kLLLLQMkbddfiihijjjdwffdevqihh              | dLQbcbchhww                                 
[0, 0, 1, 2, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1] | mLLLLzPQQbddhiilljjklkdwfwatmtxdcrv         | gLLAQacdefffjkaqqul                         
