Weight Vector                                 | Iso Sig                                        | Simplified IsoSig                              
-----------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 2] | lLAvLMMQcccbighjhkikktlfpdsafqbgj              | cMcabbgqw                                      
[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 2, 1] | mLLLMPLAQccfegigjkilklubadjabxdopbb            | cMcabbgaj                                      
[0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 2, 1, 0, 1, 0] | kLLAALMkbeeeffihjijeaaeaadppfb                 | cMcabbjaj                                      
[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 2, 0, 1] | lLLLzAPQcbegfiigkjkjktamujjguepeb              | bkaajn                                         
[0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 0, 1, 1, 1, 0] | oLLLMvAPAQcbedfhjjmljklnmnamficdeufbrcavv      | cMcabbjqw                                      
[0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 0, 1, 1, 0, 1] | lLvALMQPccdefhjjhhjkkuvucvipffuic              | cMcabbjak                                      
[0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 2, 0] | lLLAALMPcbcddffhhjkjkdfcfccscvivg              | bkaajj                                         
[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 2, 0] | mLLLLMAQPbcffghhijjklldfpgfccsxdcmo            | dLQbcbchhjs                                    
[0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 0, 0, 0, 1, 1] | lLvALPAQccecghgijjkkktpvbbbcaqeaw              | cMcabbjqs                                      
[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 2, 0, 1] | lLALLLPQcbccehijkiikklajjaulauukj              | eLAkbcbddhhwqn                                 
[0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 2, 0, 1] | mLALLPPzQbccffihhikllllajetsrrfjmll            | fLAMcbcbdeehxjqhr                              
[0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 2, 1, 0] | mLALLPPzQbccffihhikllllajetsrrfjmlx            | eLAkbcbddhhjqn                                 
[0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1, 0, 0, 2] | oLALzLvAQQccbcfgimjjnlkmmnaikdxjahhngbvgv      | dLQbcbchxjj                                    
[0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1, 1, 1, 0] | oLALzvLQAQcbccfglkmjmmknlnlajeqlqlxqlcmbf      | eLAkbcbddhxjqs                                 
[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 2, 1, 2] | lLALALPPcbccfefijjkkklajertdkjppm              | fLAMcbcbdeehhwhxj                              
[0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 0, 0, 0, 1, 0] | kLALzPMkbccfgihhjjjlajeqskklql                 | fLAMcbcbdeehxjqhk                              
[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 2] | mLALzLMAQbccfghhikjllllajeqkksexaeh            | fLAMcbcbdeehxjxhs                              
[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 2, 0] | mLALzPwMQbccfgihhkkllllajeqskkxkwfs            | fLAMcbcbdeehhjhxj                              
[0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 1, 0, 1, 1] | mLALzLMMQbccfghhjjkllllajeqkkheijgo            | fLAMcbcbdeehxjxhw                              
[0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 1, 1, 0, 1] | oLALwzMPMMcbccfegikljjmmnnlajerrudvocaefv      | dLQbcbchxjn                                    
[0, 0, 0, 0, 1, 1, 2, 0, 1, 1, 0, 0, 1, 1, 0] | qLALvzMLMMQkcbcfikhlnkmnnopopaikdnajhlxljnwefv | cMcabbjxr                                      
[0, 0, 0, 0, 1, 1, 2, 0, 1, 1, 0, 1, 0, 1, 0] | mLALvPQLQbccfiiijhllkllajekkkskatcv            | dLQbcbchhjw                                    
[0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1, 0, 2, 1, 0] | kLLAzzQkbdedgijiijjdwaswdlqvsc                 | eLPkbcdddhrrnk                                 
[0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 2, 0, 1, 1, 0] | kLLLAwQkceefeghjijjluiairnqlfr                 | dLQbccchhrw                                    
[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 2, 0, 2, 0, 1] | pLLLMLLzQPQbdggfhkmljlonoondwttgrqjwgwuptto    | eLAkbccddemkij                                 
[0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 2, 0, 1, 1, 0] | qLLLLwLLQQMkbdgfihnkjmoloonppdwtgwreqgcjbcwrqg | dLQbcbchxwn                                    
[0, 0, 0, 2, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0] | pLLvAwPLQPQcdheiiknkmnllnoolwalmaqenwfcvvpo    | eLAkbcbddhhjqj                                 
[0, 0, 0, 2, 1, 2, 0, 0, 1, 0, 0, 0, 1, 1, 0] | nLALvPPLQkbccfhhkijlmllmtpkanbavfmdjvg         | eLAkbcbddhhjhr                                 
[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 2, 0, 1] | lLALLLPQcbccehijkiikklajjauleuuwv              | fLAMcbcbdeehhwhxn                              
[0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 2, 0, 1] | mLALzPPzQbccffihhikllllugemrcccgmqq            | gLAMPbcbdeffhxwqqxk                            
[0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 2, 1, 0] | mLALzPPzQbccffihhikllllugemrcccgmiq            | fLAMcbcbdeehhjhxn                              
[0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1, 1, 1, 0] | oLALLvLQAQcbccfgkmlmmjknlnlugeeeqqqeicmbf      | fLAMcbcbdeehxwxhw                              
[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 1, 2] | lLALAvAQccbcfefjiikkkpigdftlkghdd              | gLAMPbcbdeffhhwhhqj                            
[0, 0, 1, 0, 1, 0, 1, 0, 2, 2, 0, 0, 0, 1, 0] | kLALLPMkbccfgihhjjjlugeerjjqqe                 | gLAMPbcbdeffhxjqqxk                            
[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 2] | mLALLLMAQbccfghhijkllllugeejjkilaeh            | gLAMPbcbdeffhxjxxqs                            
[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 2, 0] | mLALLPwPQbccfgihhkkllllugeerjjhjnwk            | gLAMPbcbdeffhhjhhqj                            
[0, 0, 1, 0, 1, 0, 1, 2, 0, 0, 0, 1, 0, 1, 1] | mLALLLMMQbccfghhjkjllllugeejjtdlgkb            | gLAMPbcbdeffhxwxxqs                            
[0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 1, 1, 1, 0, 1] | oLALwPvQwQcbccfegilkjjnnnmlugeccaiobgiiob      | eLAkbcbddhhwqj                                 
[0, 0, 1, 0, 1, 0, 2, 0, 1, 1, 0, 1, 0, 1, 0] | mLALvPQLQbccfhhhjikklllugejjjrjeabg            | eLAkbcbddhxwqs                                 
[0, 0, 1, 0, 2, 2, 1, 0, 0, 0, 0, 0, 1, 0, 1] | kLALALPkcbceffhjjijuajjipugfjv                 | fLAMcbcbdeehhwqxk                              
[0, 0, 1, 1, 0, 0, 0, 2, 1, 0, 0, 1, 1, 1, 0] | oLLLvMwQAQcbcfjhijhkklmnnndfpasvebxdkgddh      | fLAMcbccdeeemkehj                              
[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 2] | mLLAPzLMQbdcdfggkjjllltvofjdxtvwlaa            | fLAMcbcbdeehhjhhw                              
[0, 0, 1, 1, 0, 0, 1, 1, 2, 1, 0, 0, 0, 1, 0] | mLALvQwPQbccfgfiikkklldigapbkftfcfo            | fLAMcbcbdeehhjqxr                              
[0, 0, 1, 1, 0, 0, 1, 2, 0, 1, 0, 1, 1, 0, 0] | oLLALLMPwQcbdcdghjjlklmmnntvofdtvvdetvjuf      | fLAMcbcbdeehhjqxk                              
[0, 0, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 1] | mLLLLzPQQbddhiilljjklkdwfwatmtxdcrv            | gLLAQbdedfffdwqsujs                            
[0, 0, 1, 2, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0] | nLLwLLAQMkcedfjhhkjljlmmpavgloramhqwpo         | fLLQcaceeedjkuxkn                              
[0, 0, 1, 2, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0] | oLLLLLwQQPcbdffhhlkjjmmlnneviknnelqecgbif      | fLLQcbeddeehhokum                              
