Weight Vector                                 | Iso Sig                                           | Simplified IsoSig                                 
-----------------------------------------------------------------------------------------------------------------------------------------------------
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 3] | lLAvLMMQcccbighjhkikktlfpdsafqbgj                 | cMcabbgqw                                         
[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 2, 3] | lLLAMwMPcbedceggijkjkapjjppphpiog                 | bkaajn                                            
[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 3, 2] | mLLAALwAQbeedffhhjklklhhakalkkfiioc               | cMcabbjqw                                         
[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 2, 1, 2] | mLLLQLMzQcegfeghhjklklaaiammaitilgf               | cMcabbgaj                                         
[0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 1, 1, 1, 0, 1] | mLLLMAzAQceefghhhkjlkllqualggsdkifc               | cMcabbjaj                                         
[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 1, 2, 0, 0] | oLLLPwLAMQcccfghgijimnlmmnlnalrndlcadkdqf         | bkaajj                                            
[0, 0, 0, 0, 0, 1, 0, 2, 0, 2, 0, 1, 1, 1, 1] | lLvALPAQccecghgijjkkktpvbbbcaqeaw                 | cMcabbjqs                                         
[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 3, 1, 2] | kLALALMkbccfefihijjlajertdtwmj                    | fLAMcbcbdeehhwhxj                                 
[0, 0, 0, 0, 1, 1, 0, 1, 1, 2, 0, 1, 0, 1, 1] | mLALvPLQQbccfiihkjkllllajekkrdfduts               | eLAkbcbddhhjqn                                    
[0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1, 1, 2, 1, 0] | nLALwzMLQkbccfegikljmlmmlajerkhdgoqnhl            | cMcabbjxr                                         
[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 2, 1, 2] | nLALzPwMPkbccfghhhkkmlmmlajeqkkkpsmott            | cMcabbjak                                         
[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 2, 2, 1] | nLALzPwPPkbccfghhhlkmmlmlajeqkkkpsmhvh            | fLAMcbcbdeehhjhhw                                 
[0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 2, 0, 2, 0, 1] | mLALvPLQQbccfiihkjkllllajekkrdfdpdg               | dLQbcbchhjs                                       
[0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 2, 0, 2] | qLALzvMwwQQkcbcfgkljkpoppmonoaikdxadqxavhdgbfo    | eLAkbcbddhhwqn                                    
[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 2, 2, 0] | oLALzLMLPQccbcfgiikjmllmnnaikdxjjehgbjoif         | eLAkbcbddhhjhr                                    
[0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 2, 1, 1, 0] | nLALvLQLQkbccfkkjhklmmmllajeaasktllatc            | dLQbcbchhjw                                       
[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 0, 0, 1, 1] | nLALLPPvQkbccffihhjmlkmmlajetwrrxmgbxx            | dLQbcbchxjj                                       
[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 2, 1] | mLALzLMMQbccfghhjjkllllajeqkkheijgo               | fLAMcbcbdeehxjxhw                                 
[0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 1, 2, 1, 0] | nLALzLMLQkcbcfgiijjmmllmaikdxjjehwgvgr            | hLALAkbcbeffgghxjnmxkj                            
[0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 1, 0, 2, 1, 0] | nLALzLMLQkcbcfgiijjmmllmaikdxjjedwgvgr            | fLAMcbcbdeehhjhxj                                 
[0, 0, 0, 0, 1, 1, 1, 2, 1, 0, 0, 1, 1, 1, 0] | pLALLLzLMQQbccffhhjnmoolmonlajetrrtrrehgbmv       | eLAkbcbddhxjqs                                    
[0, 0, 0, 0, 1, 1, 1, 2, 1, 1, 0, 0, 1, 1, 0] | rLALzvMAALQMccbcfgkjllmlmonppqqaikdxaqxiaijlcrrxb | dLQbcbchxjn                                       
[0, 0, 0, 0, 1, 1, 1, 2, 1, 1, 0, 1, 0, 1, 0] | rLALzvLQAPPMcbccfgklmjmmlonppqqlajeqtqlxqloafoopc | fLAMcbcbdeehxjqhk                                 
[0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 2, 0, 2, 0, 1] | qLALPPLzLwQkcbcfgfhhjkmnnopopaikdxejjjlnhumsvo    | eLAkbcbddhxjqw                                    
[0, 0, 0, 0, 1, 1, 2, 1, 1, 1, 0, 1, 1, 0, 0] | nLALzLMAPkcbcfgiijkkllmmaikdxjjqxijwec            | fLAMcbcbdeehxjqhr                                 
[0, 0, 0, 0, 1, 1, 2, 1, 1, 1, 0, 2, 0, 0, 0] | pLALvvQMPPQbccfljhilmmlnnoolajeasrctiucjwec       | eLAkbcbddhhwhr                                    
[0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 1, 0, 1, 3, 0] | qLLLAPvzQwQkbdggehilmmlnoonppdwttdapapapagsbcv    | fLLQcacddeejkaikk                                 
[0, 0, 0, 1, 0, 0, 1, 0, 0, 3, 1, 0, 1, 2, 0] | kLLAzzQkbdedgijiijjdwaswdlqvsc                    | eLPkbcdddhrrnk                                    
[0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 2, 0, 1, 1, 2] | lLLLwPMQcbedejijkjkikdafetxtiehdf                 | gLLAQbcedfeftsqsxwr                               
[0, 0, 0, 1, 0, 1, 0, 3, 0, 1, 0, 1, 0, 0, 2] | qLLLLLPAPMPkbegfhlljjlkmnopoptamhjaapamobouuog    | dLQbcbchhww                                       
[0, 0, 0, 1, 1, 1, 0, 0, 0, 3, 0, 0, 1, 2, 0] | pLLLAAvQvQQbdggefhllkmnnmoodwttlkapapggsbcv       | eLAkbccddemkij                                    
[0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 2, 1, 1, 0, 0] | nLLLvMPPQkbefhglkjkmlmmleaivkheopdidxf            | dLQbccchhrw                                       
